	Ahmet/name	Marat/name	beetje/noun	berusting/noun	beton_blok/noun	bewust/adj	blad/noun	blazoen/noun	blik/noun	die/det	dikwijls/adj	dreun/noun	e/noun	ellende/noun	en/vg	enigszins/adv	explosie/noun	gelatenheid/noun	geluid/noun	gevoel/noun	glans/noun	haar/noun	heerlijk/adj	herhaling/noun	het/det	huid/noun	ik/pron	indruk/noun	kijker/noun	klank/noun	klap/noun	kleur/noun	klik/noun	klinker/noun	klop/noun	knal/noun	koper/noun	kort/adj	kreet/noun	kunststof/noun	laag_DIM/noun	leegte/noun	lethargie/noun	lijden/noun	miserie/noun	o/noun	oog/noun	oog_DIM/noun	opgenomen/adj	oppervlak/noun	papier/noun	pijn/noun	poeder/noun	poging/noun	punt/noun	razernij/noun	ritme/noun	schoen/noun	schoot/noun	schot/noun	sfeer/noun	signaal/noun	slag/noun	streep/noun	tamelijk/adj	te/adv	teleurstelling/noun	theater_zaal/noun	toon/noun	trom/noun	variant/noun	veeleer/adv	verdriet/noun	verf/noun	verkeer_ellende/noun	voorstelling/noun	wat/adv	werkelijkheid/noun	zang_stem/noun	ze/pron	zo/adv	zucht/noun	zwart/noun
laag_DIM/noun	0.9588677	0.9670526	0.83043945	0.94009644	0.8822916	0.92135775	0.79744226	0.9527626	0.8231907	0.8541324	0.88562214	0.91223407	0.9295492	0.90225315	0.7179457	0.8811606	0.8849375	0.9519211	0.82273424	0.8884697	0.7817246	0.7506542	0.79029167	0.9262847	0.87358254	0.68210423	0.95418966	0.9325669	0.92125505	0.8492318	0.9097074	0.6836718	0.92761904	0.825972	0.9345095	0.9008815	0.8382935	0.887534	0.91248846	0.6729585	0.0	0.8829621	0.95351756	0.9446279	0.9302562	0.9360901	0.833569	0.8890713	0.9226704	0.7088234	0.7788828	0.91548955	0.77402943	0.92459697	0.9482074	0.9429411	0.864026	0.78582144	0.9105	0.8958663	0.8701078	0.8938656	0.95492494	0.81135106	0.86148405	0.8709523	0.9328785	0.9618561	0.8666113	0.9440587	0.8473476	0.9020789	0.90393585	0.7327021	0.949104	0.90347046	0.8526288	0.8745401	0.9538591	0.8728596	0.8803465	0.91953117	0.8042481
leegte/noun	0.9488761	0.9540189	0.8199233	0.8381929	0.9260319	0.8793373	0.89789295	0.9493984	0.8036718	0.8006879	0.841848	0.88470346	0.9141963	0.76971436	0.77281463	0.82014334	0.85333836	0.9185017	0.77974725	0.7534746	0.84778607	0.8764868	0.8405226	0.8768512	0.8526624	0.8726414	0.87036955	0.82597536	0.84691215	0.7939846	0.8748952	0.8112673	0.92735004	0.91436607	0.91130304	0.8718399	0.9077355	0.9178162	0.85233736	0.90963525	0.8829621	0.0	0.88293666	0.8208042	0.88899165	0.90404683	0.8158554	0.90939057	0.89834183	0.85421306	0.8941609	0.8285048	0.898423	0.8988854	0.9400268	0.8703089	0.84636295	0.9100284	0.9222822	0.90679634	0.76638216	0.9123165	0.92657185	0.9008064	0.81377256	0.8861306	0.84960145	0.8985593	0.8186368	0.9181712	0.877876	0.8273493	0.7582089	0.8494086	0.9093188	0.8228984	0.8317785	0.76729405	0.88057935	0.85393965	0.8409483	0.82735217	0.87451804
lethargie/noun	0.9622435	0.94518423	0.93974686	0.91931796	0.952627	0.93587804	0.96125495	0.9535735	0.929514	0.90897715	0.9304713	0.91242117	0.95872223	0.8492346	0.89802	0.9461373	0.92822456	0.892147	0.9289416	0.8996091	0.92148775	0.961539	0.902398	0.9069726	0.9288755	0.9676448	0.93353665	0.9255176	0.907736	0.91293204	0.9292773	0.92462015	0.9426745	0.94342977	0.9463585	0.93417	0.96492916	0.9562442	0.9404255	0.96368253	0.95351756	0.88293666	0.0	0.8971512	0.8913651	0.92637	0.9409812	0.95995885	0.96493816	0.95741373	0.9597834	0.9170556	0.9325833	0.91767657	0.94891626	0.8994854	0.89431924	0.96253973	0.95835865	0.9475564	0.8784886	0.94715095	0.9435277	0.9508311	0.9406394	0.9627768	0.90001184	0.95133424	0.9338479	0.9622988	0.935509	0.9104701	0.90590835	0.94536835	0.89259404	0.9433361	0.9313891	0.9234307	0.9183377	0.93513465	0.9386433	0.91205937	0.95502055
lijden/noun	0.94336337	0.93437153	0.8814364	0.8901909	0.96351135	0.8851358	0.9420025	0.9238348	0.88775176	0.8266796	0.85903084	0.9091122	0.9177233	0.7146393	0.8292944	0.87632835	0.8944307	0.8947884	0.89100623	0.8044659	0.92478967	0.9465368	0.9152015	0.8753621	0.8909168	0.91895944	0.8869267	0.9082167	0.9144298	0.87828535	0.8882545	0.91618055	0.9419334	0.96134627	0.9411002	0.9131981	0.9402734	0.9382174	0.86961865	0.9557037	0.9446279	0.8208042	0.8971512	0.0	0.78718656	0.92445993	0.89791864	0.92379713	0.89624816	0.94942695	0.92902064	0.7389662	0.9363317	0.87289023	0.96162945	0.87798536	0.9031228	0.9561591	0.943419	0.9291874	0.90359706	0.9009221	0.9154437	0.9525856	0.9028402	0.9151154	0.837794	0.96369153	0.9044195	0.9448541	0.91144085	0.83927166	0.7446319	0.9364183	0.88387537	0.89348716	0.9020982	0.86003745	0.9545085	0.86000466	0.87242305	0.886063	0.93122566
miserie/noun	0.927886	0.9398861	0.85436237	0.9053511	0.94068885	0.9124067	0.92953503	0.9401341	0.89077836	0.84785616	0.8531526	0.89972854	0.9149862	0.66219527	0.858773	0.89189947	0.9234609	0.90129316	0.9169556	0.8854309	0.8920959	0.9079037	0.92186177	0.9086387	0.8935375	0.8929566	0.86061656	0.9159653	0.9020623	0.9268285	0.88831794	0.9130826	0.9515005	0.92092174	0.9226525	0.91989017	0.93285835	0.92807156	0.91880816	0.9520446	0.9302562	0.88899165	0.8913651	0.78718656	0.0	0.94666475	0.8895985	0.9335298	0.9396886	0.90793735	0.8984103	0.80194855	0.9174463	0.91918075	0.9579701	0.9064467	0.9135996	0.90754586	0.92791295	0.9134788	0.8985964	0.917649	0.92808014	0.89647925	0.92087615	0.9094475	0.8084426	0.93849134	0.91686994	0.93457574	0.92905533	0.8803246	0.7654658	0.9122295	0.8119521	0.9090446	0.8788967	0.89676636	0.9393474	0.8353224	0.8952025	0.908266	0.92416614
o/noun	0.93331826	0.9338489	0.9002516	0.92033374	0.9479772	0.93165445	0.9215288	0.95001143	0.89670044	0.8804964	0.92143416	0.9171175	0.82726246	0.92573065	0.8857783	0.8848966	0.94481975	0.9583787	0.8999731	0.8997457	0.91494364	0.8965117	0.8794142	0.93148327	0.91965514	0.8939136	0.92299604	0.92321867	0.9118587	0.86850524	0.9261317	0.88803107	0.94845784	0.88154817	0.9125891	0.9395014	0.93959117	0.92628944	0.92921996	0.9462476	0.9360901	0.90404683	0.92637	0.92445993	0.94666475	0.0	0.89299273	0.9584943	0.9057847	0.940219	0.91925323	0.9223836	0.9053322	0.9286216	0.955249	0.94413996	0.9216265	0.934548	0.9341169	0.94111055	0.9072595	0.96437943	0.94364095	0.934247	0.9124543	0.933152	0.93062294	0.9460632	0.90372294	0.9172361	0.9126509	0.9193485	0.88602746	0.91534895	0.9514062	0.8845488	0.9263131	0.89378995	0.941611	0.91320956	0.89123833	0.91084254	0.93590367
oog/noun	0.9479415	0.9297323	0.7208116	0.8876853	0.8986554	0.84201527	0.82524955	0.9151977	0.5353892	0.78619367	0.8177339	0.8922031	0.93108016	0.8400038	0.67256063	0.76354986	0.8940717	0.9005844	0.7514491	0.77569264	0.80805105	0.64759445	0.8130204	0.8707309	0.8706088	0.65431046	0.8173719	0.792912	0.7725787	0.77284235	0.8592032	0.71023005	0.8964107	0.88619435	0.91704744	0.8554592	0.8845639	0.8381833	0.8115019	0.8907008	0.833569	0.8158554	0.9409812	0.89791864	0.8895985	0.89299273	0.0	0.69285226	0.9096065	0.8066143	0.8210819	0.76832795	0.88306475	0.8782453	0.9314746	0.8849191	0.8150566	0.74609774	0.79830456	0.8649296	0.8190999	0.8701297	0.9015572	0.77246356	0.79163873	0.8250165	0.8730736	0.93993807	0.7406037	0.92599386	0.85786545	0.82425547	0.8121761	0.79008293	0.95412105	0.83146393	0.726797	0.7935396	0.910104	0.7378508	0.7672831	0.82100296	0.75995785
oog_DIM/noun	0.9672165	0.9727898	0.8795949	0.9338883	0.93318623	0.9165202	0.9116855	0.9341922	0.82276547	0.8797675	0.9042336	0.92545813	0.91467714	0.9120971	0.82916385	0.90649223	0.91521746	0.9464495	0.89571416	0.9098087	0.90320015	0.83461297	0.9012494	0.9094017	0.9090464	0.84286284	0.90559673	0.93350893	0.9061613	0.89860386	0.92432624	0.8672144	0.9269011	0.92548174	0.9362505	0.8999421	0.9224143	0.91144556	0.92868656	0.9230737	0.8890713	0.90939057	0.95995885	0.92379713	0.9335298	0.9584943	0.69285226	0.0	0.9498637	0.9058421	0.89383876	0.9022908	0.90613365	0.92691	0.9517175	0.9345094	0.92518854	0.8625401	0.9128471	0.9123046	0.9257831	0.92976636	0.9240208	0.87933147	0.91502947	0.8994405	0.9306232	0.9442344	0.8852732	0.9355628	0.9182666	0.9249103	0.89301324	0.85281634	0.96390456	0.9466538	0.88566923	0.9043791	0.95507884	0.8415088	0.890496	0.89291835	0.8465967
opgenomen/adj	0.95109487	0.95929307	0.92878425	0.91039306	0.9636699	0.8746333	0.87864023	0.9496839	0.8821623	0.84028447	0.87602687	0.9425331	0.8772044	0.9044298	0.785017	0.86526394	0.91611224	0.9608582	0.7944339	0.93089473	0.9065868	0.92614114	0.8790222	0.8667473	0.84996134	0.8942341	0.9462152	0.88722134	0.86355656	0.8118652	0.9306159	0.85450685	0.923059	0.9473326	0.9352915	0.94387996	0.87682146	0.8251956	0.905437	0.9092353	0.9226704	0.89834183	0.96493816	0.89624816	0.9396886	0.9057847	0.9096065	0.9498637	0.0	0.90372145	0.857416	0.92160076	0.90681815	0.91514355	0.9580771	0.9265859	0.8465494	0.9328035	0.9211192	0.94968545	0.8748629	0.89881563	0.94953704	0.91866374	0.8074213	0.9080429	0.93613684	0.8968758	0.8443318	0.930919	0.8387745	0.8506409	0.91239405	0.90175575	0.95422417	0.79997796	0.8987553	0.8564498	0.91594154	0.8966881	0.90826595	0.9031591	0.8900404
oppervlak/noun	0.96840614	0.96398395	0.8834934	0.9358205	0.87902987	0.93030185	0.8122579	0.90248424	0.8054172	0.8431965	0.8847695	0.91787624	0.93013763	0.8692902	0.7533214	0.8234963	0.85320795	0.9451788	0.79331744	0.90827566	0.8511016	0.78068775	0.8809599	0.91347384	0.8735884	0.68881327	0.95638347	0.91152525	0.9080564	0.80419445	0.88648814	0.698671	0.9152051	0.8461975	0.9143985	0.8459747	0.8479112	0.89175856	0.8903048	0.7600948	0.7088234	0.85421306	0.95741373	0.94942695	0.90793735	0.940219	0.8066143	0.9058421	0.90372145	0.0	0.7967538	0.9121477	0.8282084	0.93417364	0.9518651	0.95282626	0.8381641	0.8129152	0.9044668	0.89168715	0.88529265	0.9135507	0.9379828	0.8217807	0.8364999	0.83491063	0.91519827	0.8965472	0.86426926	0.9099297	0.87295485	0.88198346	0.8969797	0.75387573	0.93336546	0.86766183	0.8292117	0.84804535	0.944399	0.8818001	0.83052975	0.9296902	0.85098827
papier/noun	0.96615165	0.938234	0.81966424	0.95834106	0.8982455	0.85851437	0.6833323	0.94520164	0.77286494	0.7707631	0.84925646	0.9306258	0.92320937	0.87110865	0.66776335	0.81835794	0.8805219	0.963812	0.79259956	0.8869197	0.8719304	0.7764877	0.83276993	0.89037806	0.84170926	0.77988225	0.9078294	0.85600185	0.86569524	0.8487974	0.8797354	0.69399977	0.8929398	0.85893863	0.94231004	0.9106636	0.7762041	0.85860014	0.88461673	0.7306758	0.7788828	0.8941609	0.9597834	0.92902064	0.8984103	0.91925323	0.8210819	0.89383876	0.857416	0.7967538	0.0	0.89946467	0.75987905	0.88234353	0.9226757	0.93478173	0.8652499	0.7472655	0.8239826	0.8890297	0.8423189	0.8799776	0.8769659	0.81719244	0.815067	0.8566037	0.9135268	0.92816633	0.84941185	0.93240154	0.8217809	0.858821	0.87124026	0.70320344	0.9528327	0.83354145	0.8011888	0.82739735	0.9558305	0.7802847	0.8172843	0.9146834	0.7989516
pijn/noun	0.96694577	0.9506536	0.7899289	0.8585017	0.9600661	0.81919456	0.9221499	0.9377525	0.80124825	0.777846	0.8154481	0.86334246	0.94188523	0.732162	0.73749816	0.8182082	0.87935984	0.8813567	0.8009763	0.7055102	0.8779101	0.8221091	0.87119	0.8683551	0.87901783	0.71402067	0.74541456	0.85620785	0.86010236	0.8679891	0.7834171	0.87508976	0.9219763	0.94860977	0.8806555	0.854413	0.92395914	0.8769196	0.8339406	0.9458036	0.91548955	0.8285048	0.9170556	0.7389662	0.80194855	0.9223836	0.76832795	0.9022908	0.92160076	0.9121477	0.89946467	0.0	0.8988013	0.8687743	0.929761	0.8697283	0.86652297	0.86164725	0.8686585	0.88556856	0.85513544	0.8837056	0.865504	0.8630273	0.8908608	0.84549916	0.7767397	0.9688163	0.8503311	0.9032789	0.8925979	0.87494427	0.66860664	0.8860197	0.911687	0.88490194	0.8243208	0.84683335	0.9343295	0.7356318	0.83483917	0.8408059	0.89470875
poeder/noun	0.9566558	0.95021635	0.9150522	0.94752264	0.8865798	0.909179	0.8246007	0.9289291	0.8593273	0.87221646	0.9124317	0.9273919	0.9238557	0.8985511	0.782349	0.9069045	0.8775634	0.9497573	0.8697516	0.92480856	0.8829844	0.81968284	0.8529444	0.9418683	0.8925661	0.7649489	0.93708724	0.9635673	0.9219716	0.8747978	0.9131094	0.8033248	0.92827326	0.8608794	0.9416236	0.87845856	0.8760212	0.8963866	0.92238784	0.7917501	0.77402943	0.898423	0.9325833	0.9363317	0.9174463	0.9053322	0.88306475	0.90613365	0.90681815	0.8282084	0.75987905	0.8988013	0.0	0.9344561	0.9686167	0.9375	0.9095243	0.83219177	0.8779862	0.90550214	0.91175926	0.9213089	0.9469827	0.87259173	0.887022	0.8959054	0.9352153	0.92491716	0.90173376	0.95497274	0.85971546	0.92823267	0.8949864	0.7741475	0.9113177	0.9200342	0.9027013	0.929972	0.9421822	0.83699656	0.90313643	0.92779195	0.8739316
poging/noun	0.95642084	0.9525373	0.80852365	0.91952074	0.92696166	0.81060594	0.878373	0.88024306	0.86855423	0.8045953	0.8233298	0.9213892	0.943608	0.8512691	0.7282271	0.74041635	0.8525723	0.9222392	0.8555476	0.83469164	0.88775635	0.9078821	0.9061568	0.8189408	0.8041881	0.8933245	0.9078201	0.8087911	0.8528128	0.86438435	0.85047084	0.89275336	0.94646657	0.9533931	0.9523582	0.88394177	0.88140684	0.880045	0.86412454	0.94577456	0.92459697	0.8988854	0.91767657	0.87289023	0.91918075	0.9286216	0.8782453	0.92691	0.91514355	0.93417364	0.88234353	0.8687743	0.9344561	0.0	0.9244336	0.8924721	0.87636596	0.8970732	0.8651862	0.8180774	0.8576047	0.8177661	0.818215	0.89242405	0.80264205	0.83632207	0.87185633	0.965645	0.8221837	0.96019554	0.831229	0.8117453	0.8348403	0.91508365	0.9525338	0.8397403	0.7994869	0.8196033	0.9643172	0.8259248	0.8023882	0.8848611	0.891279
punt/noun	0.93616784	0.9563456	0.93029994	0.944414	0.9555165	0.9437376	0.95534295	0.97633046	0.93794525	0.8525037	0.9157088	0.9105495	0.9543073	0.9422523	0.908371	0.9066218	0.9616334	0.958941	0.94668996	0.9090044	0.9077406	0.95726067	0.95263034	0.9400293	0.89005834	0.93044686	0.91471034	0.9250369	0.91996914	0.9452455	0.8630353	0.9485147	0.9654479	0.94480705	0.9359932	0.93007445	0.9399595	0.93315315	0.9393776	0.96620184	0.9482074	0.9400268	0.94891626	0.96162945	0.9579701	0.955249	0.9314746	0.9517175	0.9580771	0.9518651	0.9226757	0.929761	0.9686167	0.9244336	0.0	0.9629035	0.9458513	0.93383706	0.91704416	0.8774462	0.9565695	0.9181422	0.8382731	0.8614378	0.93384767	0.9076925	0.90687084	0.97365123	0.94461066	0.94455785	0.94691783	0.94599307	0.93499434	0.9545555	0.96684515	0.95528185	0.9041202	0.93681425	0.9783577	0.90363866	0.9068908	0.9119596	0.9455624
razernij/noun	0.9451373	0.9479223	0.907599	0.891396	0.93535376	0.9367118	0.95412785	0.914514	0.8897581	0.8823191	0.8709196	0.92293483	0.96393555	0.85476965	0.8455309	0.91634876	0.894996	0.89146936	0.8945472	0.8315142	0.91212106	0.9275536	0.91021246	0.9143285	0.9181369	0.92574376	0.90854424	0.9156426	0.9038118	0.894614	0.9134716	0.93618834	0.9463282	0.9568356	0.92588	0.9194776	0.91438574	0.930266	0.8679951	0.943253	0.9429411	0.8703089	0.8994854	0.87798536	0.9064467	0.94413996	0.8849191	0.9345094	0.9265859	0.95282626	0.93478173	0.8697283	0.9375	0.8924721	0.9629035	0.0	0.9064162	0.9539405	0.9103802	0.921776	0.87665415	0.9232306	0.9482382	0.95086515	0.903913	0.91208947	0.87462187	0.9642281	0.9001213	0.95206	0.9338401	0.8833376	0.84516466	0.9289187	0.9170215	0.914539	0.9165796	0.8884946	0.96395063	0.8692104	0.8877571	0.8960403	0.9215167
ritme/noun	0.97166616	0.94426215	0.7830254	0.9111401	0.94282085	0.88152015	0.8758671	0.9696702	0.7635066	0.802035	0.83546257	0.8397471	0.8674615	0.8480369	0.6552168	0.77084285	0.8593358	0.91034406	0.62603986	0.79722285	0.83977246	0.8412609	0.7549434	0.8348674	0.87751544	0.8404461	0.8875579	0.82147205	0.83785063	0.52925056	0.88795763	0.70739186	0.9114585	0.8991114	0.9198236	0.8605603	0.8657856	0.8627027	0.8256146	0.891324	0.864026	0.84636295	0.89431924	0.9031228	0.9135996	0.9216265	0.8150566	0.92518854	0.8465494	0.8381641	0.8652499	0.86652297	0.9095243	0.87636596	0.9458513	0.9064162	0.0	0.8390382	0.8767655	0.86744684	0.66926324	0.8715128	0.9008692	0.84801084	0.7591501	0.8483296	0.89484614	0.9318665	0.67672753	0.84719056	0.7780489	0.799883	0.8666594	0.8462211	0.94803655	0.7206323	0.7523413	0.8089877	0.8361268	0.8324995	0.7852912	0.8050525	0.87114394
schoen/noun	0.96825933	0.94507074	0.79788864	0.94147515	0.90784895	0.8990548	0.77306473	0.9457786	0.7408962	0.8275161	0.8708267	0.93064797	0.8859319	0.8984696	0.6444783	0.83519	0.9090123	0.9581639	0.81545556	0.89725184	0.85300714	0.6243261	0.8062922	0.90370667	0.8732905	0.70981586	0.84059703	0.8820917	0.8731524	0.8424062	0.89102536	0.685609	0.89850104	0.855226	0.9510214	0.88838613	0.8347426	0.8132375	0.88158894	0.817001	0.78582144	0.9100284	0.96253973	0.9561591	0.90754586	0.934548	0.74609774	0.8625401	0.9328035	0.8129152	0.7472655	0.86164725	0.83219177	0.8970732	0.93383706	0.9539405	0.8390382	0.0	0.83034813	0.858014	0.855435	0.93063194	0.8973368	0.7842075	0.8383251	0.84184897	0.90776354	0.92355573	0.8578833	0.91379344	0.8685664	0.8564402	0.89542305	0.72905165	0.9729972	0.87319845	0.79164994	0.8973439	0.94112587	0.73244154	0.84608704	0.91570044	0.7636273
schoot/noun	0.93954265	0.9563133	0.85420877	0.92186975	0.93246186	0.9029545	0.868389	0.94307745	0.7979047	0.844423	0.87494344	0.89044875	0.91964614	0.8879814	0.7637608	0.87880516	0.8526	0.9498985	0.82955885	0.9004229	0.92567056	0.7913616	0.8356384	0.9382027	0.87951136	0.8494488	0.907078	0.890651	0.90150917	0.8656119	0.85578126	0.8467655	0.93063223	0.91739815	0.9370443	0.8050821	0.90025914	0.89402187	0.8755017	0.8891708	0.9105	0.9222822	0.95835865	0.943419	0.92791295	0.9341169	0.79830456	0.9128471	0.9211192	0.9044668	0.8239826	0.8686585	0.8779862	0.8651862	0.91704416	0.9103802	0.8767655	0.83034813	0.0	0.72296894	0.8908441	0.90313816	0.88643354	0.86247075	0.8761989	0.8920319	0.9134854	0.94487417	0.8789301	0.9161179	0.8871805	0.89490944	0.890123	0.86609715	0.9322631	0.9078363	0.8383813	0.9066306	0.934396	0.79767275	0.8747921	0.8838232	0.86083555
schot/noun	0.9541025	0.930663	0.8643883	0.9420612	0.88173604	0.8980724	0.9057215	0.9573694	0.8343053	0.86756533	0.88639665	0.8720434	0.9418735	0.90253335	0.81370604	0.86246705	0.851261	0.94866776	0.8623409	0.8890578	0.9350649	0.87191737	0.8775705	0.9136657	0.8839023	0.88490677	0.88874185	0.89153564	0.91312647	0.89417994	0.8065111	0.8873908	0.92142737	0.9167967	0.89909863	0.68175435	0.91844064	0.8850295	0.891296	0.8886068	0.8958663	0.90679634	0.9475564	0.9291874	0.9134788	0.94111055	0.8649296	0.9123046	0.94968545	0.89168715	0.8890297	0.88556856	0.90550214	0.8180774	0.8774462	0.921776	0.86744684	0.858014	0.72296894	0.0	0.9135528	0.8953035	0.8345268	0.84631556	0.89573026	0.8942362	0.9150028	0.95475906	0.89361995	0.9398303	0.90889955	0.910117	0.9172589	0.89874744	0.9479525	0.9091306	0.86629987	0.91083103	0.9715837	0.8373215	0.8747929	0.9051518	0.8807173
sfeer/noun	0.9694174	0.96106356	0.70219135	0.8502047	0.9459942	0.8293896	0.84917074	0.948006	0.7311691	0.74081606	0.8166042	0.8849183	0.91885275	0.80618286	0.65384066	0.71446323	0.86660415	0.8596868	0.6893151	0.60792613	0.8196422	0.85136163	0.6906138	0.8687407	0.82141924	0.85599947	0.87094474	0.7098435	0.81315345	0.62700695	0.90944076	0.7051759	0.9431099	0.9403364	0.9393959	0.8939936	0.87947595	0.89334756	0.8160014	0.9073782	0.8701078	0.76638216	0.8784886	0.90359706	0.8985964	0.9072595	0.8190999	0.9257831	0.8748629	0.88529265	0.8423189	0.85513544	0.91175926	0.8576047	0.9565695	0.87665415	0.66926324	0.855435	0.8908441	0.9135528	0.0	0.88261336	0.9243237	0.90137804	0.74320483	0.8111504	0.83024776	0.8574759	0.6446148	0.9352214	0.81266546	0.717417	0.7843986	0.8344965	0.94450563	0.6734774	0.6860124	0.7462207	0.87656283	0.8324324	0.73496413	0.7884561	0.8355142
