	46/num	Japan/det	Waals/adj	aangekocht/adj	acht/num	afdeling/noun	alle/det	allerlei/det	als/prep	ambachtelijk/adj	analyseer/verb	bedek/verb	ben/verb	berg/noun	blijk/verb	boven/prep	boven_haal/verb	buitenlands/adj	chirurgisch/adj	dat/pron	deel_uit/verb	die/det	die/pron	dik/adj	door/prep	doorboor/verb	een/det	eis/verb	elk/det	enkel/det	gebruikelijk/adj	gelakt/adj	gemanipuleerd/adj	genomen/adj	gepantserd/adj	geïmporteerd/adj	goedkoop/adj	hard/adj	het/det	hoeveelheid/noun	hoogwaardig/adj	hoop/noun	importeer/verb	in/prep	kilo/noun	klein/adj	krijg_binnen/verb	lading/noun	licht/adj	lichtgewicht/adj	maak/verb	magnetisch/adj	meer/det	met/adv	met/prep	minder/adj	minder/det	naar/prep	neem/verb	nieuw/adj	onderzoek/verb	op/prep	pak/noun	per/prep	plat/adj	positief/adj	produceer/verb	puur/adj	representatief/adj	roest_vrij/adj	rond/adj	ruw/adj	slinger_rond/adj	stel_vrij/verb	stuk/noun	ton/noun	uit/prep	val_samen/verb	van/prep	verbrand/adj	verdacht/adj	verroest/adj	verschil/adj	verwrongen/adj	vier/num	vloeibaar/adj	voor/prep	waar/adv	waardoor/pp	waarin/pp	waarvan/pp	word/verb	zacht/adj	zoals/comp	zoals/prep	zuiver/adj
minder/det	0.89795256	0.9756005	0.92607576	0.93408114	0.86543655	0.89029056	0.85098326	0.93413854	0.8994405	0.97266483	0.9314422	0.9230028	0.9434424	0.91721904	0.83471537	0.64431036	0.939401	0.86033535	0.9792192	0.8593885	0.8056929	0.9605821	0.8836029	0.7788363	0.9056274	0.9853327	0.9104662	0.7266424	0.81760836	0.9694554	0.9155497	0.99437034	0.965025	0.90541196	0.93265754	0.93112403	0.75671446	0.89116323	0.9528172	0.8599708	0.92105734	0.90901023	0.8438175	0.9133849	0.5912201	0.843732	0.8267691	0.86665094	0.7596513	0.9703847	0.92586696	0.9547659	0.47803223	0.85216314	0.65973425	0.60793394	0.0	0.7113081	0.9269573	0.8632307	0.88473064	0.84549624	0.89074117	0.50134766	0.9497108	0.8402661	0.7287924	0.91016454	0.9110539	0.9761925	0.87853944	0.83076763	0.99857104	0.9152762	0.65960467	0.5274262	0.92054915	0.9710191	0.6803951	0.9470358	0.91289306	0.9553078	0.8413222	0.99072844	0.8744064	0.8701567	0.716321	0.89076895	0.8049572	0.89469504	0.5799302	0.91719973	0.9055498	0.90700436	0.8713613	0.93333143
naar/prep	0.89004356	0.9709346	0.8346247	0.93214667	0.75980556	0.851798	0.84986603	0.9093323	0.87175953	0.9679057	0.91215265	0.9046359	0.91404337	0.85043526	0.7815592	0.616171	0.95026904	0.821305	0.9733043	0.7720912	0.83488405	0.92317206	0.89593506	0.7963517	0.8599155	0.9770179	0.8664838	0.77351147	0.8543124	0.8420454	0.90019035	0.99013364	0.9783426	0.89054537	0.92680836	0.9241827	0.72122854	0.87474144	0.83794355	0.83230716	0.95754135	0.87167835	0.8489716	0.6204875	0.6685249	0.7953917	0.85201794	0.8674053	0.7314157	0.96119654	0.9030177	0.95146304	0.66305035	0.86514187	0.5518721	0.6520923	0.7113081	0.0	0.8653095	0.84216595	0.84028065	0.6768223	0.88754445	0.55555075	0.9292338	0.8182867	0.78084946	0.89474577	0.9312279	0.9630688	0.84273773	0.81617135	0.98839104	0.93396086	0.68251294	0.6166295	0.7447711	0.91522396	0.57139635	0.9648355	0.89703786	0.9545313	0.85823476	0.9928905	0.7550187	0.9230641	0.71131253	0.5502436	0.782958	0.89007825	0.6643337	0.85307837	0.89343774	0.84103596	0.85796267	0.8710407
neem/verb	0.88966244	0.99847573	0.90310585	0.94859326	0.8051285	0.87629634	0.8538794	0.89959455	0.7739823	0.9652149	0.9213271	0.9792756	0.9012231	0.9135992	0.83508885	0.87123716	0.9539796	0.8664855	0.9793674	0.78903794	0.88883233	0.8799431	0.81169367	0.9015028	0.7644014	0.99206907	0.85155684	0.8379104	0.87852395	0.8037631	0.93858606	1.0	0.95701635	0.91687655	0.96759385	0.9937716	0.88168985	0.83494747	0.90176713	0.94207287	0.9898525	0.85638106	0.94378066	0.85217685	0.93674225	0.89022374	0.9547838	0.9519531	0.84827936	0.9921011	0.8542966	0.97580767	0.89431953	0.90383625	0.8209448	0.8533284	0.9269573	0.8653095	0.0	0.80604523	0.8106029	0.8615432	0.92054373	0.9266695	0.92447716	0.8454575	0.9086221	0.9078528	0.9606212	0.96667653	0.8823043	0.9714669	0.99514776	0.9814587	0.8922412	0.9159913	0.83451796	0.94005036	0.76067567	0.96886885	0.8941719	1.0	0.8389097	0.9787759	0.83807945	0.9880646	0.8403018	0.85060036	0.8431884	0.8337346	0.85453224	0.8577955	0.9256345	0.80992883	0.8762013	0.91230977
nieuw/adj	0.94259655	0.98665386	0.93570155	0.9431057	0.8559406	0.8538595	0.8419293	0.8984919	0.77446866	0.9309078	0.9112864	0.97313195	0.8854907	0.9424238	0.85666347	0.84277105	0.96978223	0.85063326	0.9953271	0.7426326	0.89772105	0.87731135	0.89192426	0.8540504	0.8113303	0.984764	0.9036045	0.82345456	0.8263008	0.85042804	0.9035021	0.95986664	0.928092	0.9432416	0.91995394	0.9310193	0.8220348	0.8771757	0.78583217	0.9153217	0.93262136	0.8822056	0.94557124	0.8344367	0.908774	0.83597434	0.9511879	0.9367827	0.8775021	0.9755597	0.83022785	0.9821977	0.8371626	0.87583214	0.83676773	0.82789403	0.8632307	0.84216595	0.80604523	0.0	0.81825435	0.91029227	0.88762915	0.8499262	0.94291955	0.8726857	0.81809306	0.88349116	0.96066755	0.9705991	0.840994	0.9498856	0.9724702	0.9504763	0.82095397	0.84391505	0.8974419	0.929651	0.7023237	0.97248745	0.9098781	0.99901104	0.84684265	0.96225756	0.8578087	0.96673155	0.7754429	0.82686883	0.8347403	0.79738194	0.801826	0.8792226	0.92824584	0.7426523	0.8296726	0.94666296
onderzoek/verb	0.9352067	0.99808854	0.91829157	0.96033853	0.84970456	0.80078053	0.8602624	0.91317517	0.8378472	0.9593291	0.89938664	0.95285267	0.8652834	0.8986156	0.76689726	0.86261725	0.9559675	0.8619418	0.9608667	0.77641976	0.8704829	0.92677474	0.8272924	0.8820632	0.7597002	0.9889529	0.9164991	0.76322186	0.8982258	0.8865414	0.93828124	0.99747455	0.94710165	0.8976545	0.97470003	0.97376794	0.882962	0.86400867	0.8164852	0.8755707	0.95406145	0.9028004	0.93022424	0.8599818	0.8528186	0.9104636	0.89056253	0.89234054	0.8659129	0.9883415	0.8965717	0.98086584	0.85093606	0.86626506	0.9037851	0.8496038	0.88473064	0.84028065	0.8106029	0.81825435	0.0	0.9180756	0.93228203	0.8507609	0.9285171	0.8579418	0.86166775	0.9114628	0.95711076	0.9644631	0.878687	0.9355966	0.98867315	0.95505476	0.8607013	0.84313434	0.84642863	0.96834934	0.6973674	0.93276054	0.8210652	0.99926895	0.8399461	0.9850059	0.86573005	0.9700576	0.8601322	0.8253318	0.8973337	0.7932287	0.80538857	0.8791771	0.940986	0.8304689	0.81151676	0.9262805
op/prep	0.9287882	0.96949977	0.88834614	0.93629587	0.85766876	0.92074776	0.92897725	0.95037556	0.8135637	0.9716273	0.9569363	0.96381897	0.78784287	0.92559046	0.88319826	0.7668654	0.91490906	0.931317	0.97848177	0.8188939	0.8969035	0.9537084	0.7645175	0.88903946	0.8762063	0.9821908	0.80107975	0.85278666	0.88038534	0.90290946	0.92597044	0.9877054	0.96903336	0.9023077	0.96664476	0.96199554	0.8236031	0.90111595	0.8933759	0.91616905	0.9823082	0.93621886	0.94139415	0.7401916	0.85428524	0.86545074	0.9232836	0.92792916	0.8131417	0.9756289	0.8837339	0.97408694	0.8484939	0.9269223	0.79765356	0.8410576	0.84549624	0.6768223	0.8615432	0.91029227	0.9180756	0.0	0.9056254	0.7949033	0.933346	0.8910832	0.88324916	0.9011845	0.9583159	0.96930754	0.82932854	0.91690475	0.9628435	0.9590536	0.8257226	0.8634486	0.7474426	0.8605645	0.77004254	0.9437985	0.89945745	0.96115494	0.918064	0.9937905	0.8491529	0.965234	0.79093856	0.801601	0.85839176	0.8926346	0.84778005	0.65716964	0.92969126	0.90171295	0.9064991	0.9421249
pak/noun	0.93382436	0.9957942	0.94398427	0.96628565	0.8997519	0.93295586	0.90565085	0.95702946	0.873419	0.9727677	0.95110446	0.9510214	0.9439946	0.9458349	0.9424266	0.89120334	0.978556	0.911627	0.9996236	0.92054665	0.90098774	0.9337702	0.8825696	0.8808643	0.8979401	0.9964722	0.9041308	0.87624884	0.92148244	0.9137379	0.9538568	1.0	0.9890191	0.96948224	0.9658611	0.9906996	0.8735144	0.9275779	0.940176	0.96299386	0.986039	0.9164635	0.97166985	0.9285697	0.86480004	0.9292376	0.9233059	0.955029	0.89777064	0.9855397	0.91373444	1.0	0.89746165	0.93386674	0.8867666	0.85596335	0.89074117	0.88754445	0.92054373	0.88762915	0.93228203	0.9056254	0.0	0.86007214	0.9334262	0.9227254	0.9016724	0.9203317	0.9662639	0.9986264	0.9144461	0.9299723	1.0	0.9704313	0.8641739	0.8760248	0.9002706	0.963579	0.8644981	0.9600679	0.9246688	0.98787594	0.90460116	0.9239352	0.8749275	0.93598515	0.84113044	0.8921075	0.9265081	0.910489	0.8617563	0.9408324	0.9258642	0.8741831	0.9509798	0.94803846
per/prep	0.83852684	0.9529769	0.8942104	0.8778439	0.7779738	0.8877191	0.8015873	0.9270985	0.9844948	0.96045256	0.91503954	0.9162979	0.97764164	0.8807064	0.8241416	0.46805483	0.9152384	0.79647183	0.9561939	0.89927495	0.76257026	0.95939845	0.9141239	0.6391057	0.96780795	0.98300713	0.88532877	0.6631868	0.7132157	0.95796204	0.9014828	0.9900166	0.969772	0.8680189	0.8795673	0.91662395	0.6316124	0.9243841	0.9722744	0.8101029	0.9485566	0.95448554	0.8334821	0.9511931	0.24363619	0.8035179	0.7069776	0.8011662	0.7233708	0.9560198	0.9663331	0.96512705	0.37729394	0.909007	0.61402905	0.41307992	0.50134766	0.55555075	0.9266695	0.8499262	0.8507609	0.7949033	0.86007214	0.0	0.9357665	0.82994556	0.5970988	0.92522824	0.8594361	0.9359686	0.8324138	0.74495864	0.98910666	0.8591855	0.40677595	0.2396456	0.9434586	0.97653174	0.6277503	0.92742735	0.8728716	0.9517766	0.76205933	0.9909715	0.83455396	0.8157171	0.5134603	0.89734745	0.74803877	0.9234881	0.27781916	0.9266809	0.89242196	0.9608848	0.94883263	0.9097779
plat/adj	0.9323902	0.9986779	0.9610811	0.9959667	0.9208379	0.911372	0.9423203	0.9548251	0.9142855	0.96374	0.9573328	0.9725136	0.9724413	0.95465463	0.9597502	0.9311116	0.978299	0.93690085	0.99752253	0.9093356	0.9300879	0.946509	0.92557186	0.9126386	0.9217658	0.98548913	0.9463543	0.9206717	0.89228237	0.912189	0.93199795	0.9954114	0.99225867	0.978517	0.98676825	0.9538012	0.96020097	0.940614	0.94366586	0.95494306	0.9938175	0.92896503	0.9649248	0.8954954	0.9347572	0.9458214	0.9329201	0.94755554	0.92330354	0.9807704	0.96268517	0.96179235	0.944288	0.94445324	0.9486796	0.9344279	0.9497108	0.9292338	0.92447716	0.94291955	0.9285171	0.933346	0.9334262	0.9357665	0.0	0.9344982	0.9279999	0.9116236	0.9498955	0.97789854	0.9244462	0.96077573	0.97741383	0.9838492	0.9237713	0.9410887	0.8968312	0.97232544	0.9115539	0.98797476	0.93415684	0.9858317	0.9364999	1.0	0.9437519	0.99268544	0.93947685	0.89435416	0.9685715	0.92622685	0.9272448	0.9425752	0.9414451	0.9163939	0.94686973	0.97017074
positief/adj	0.90186614	0.94892	0.8920218	0.96849674	0.86488116	0.863523	0.87789166	0.9086126	0.8693013	0.969164	0.93123746	0.94982404	0.9370491	0.9612735	0.79445344	0.84635544	0.9735281	0.8379239	0.9940774	0.8262589	0.91130924	0.926108	0.9250919	0.8753278	0.87842107	0.9735941	0.93512297	0.84197086	0.93107015	0.89400315	0.93793607	0.97147155	0.95340186	0.9451046	0.98054886	0.9681989	0.8166977	0.85984635	0.895284	0.9152911	0.9497611	0.8663713	0.9295297	0.91092944	0.86547863	0.88084924	0.9091708	0.9445254	0.79500407	0.9940268	0.9117149	0.97529083	0.83474475	0.8380395	0.8063674	0.7957728	0.8402661	0.8182867	0.8454575	0.8726857	0.8579418	0.8910832	0.9227254	0.82994556	0.9344982	0.0	0.8702614	0.9198398	0.97648656	0.98639536	0.8898901	0.9602226	0.9988009	0.95576537	0.8634701	0.8684318	0.91640204	0.94330287	0.7457478	0.9811883	0.9192097	0.9972345	0.87858015	0.987635	0.8628116	0.97784734	0.8564861	0.8881866	0.8595744	0.8818895	0.8249655	0.935176	0.931695	0.84116656	0.8606398	0.9423238
produceer/verb	0.92411095	0.9393932	0.8865552	0.90361786	0.8165715	0.8866781	0.870669	0.8854585	0.82347965	0.9265219	0.9145751	0.9447007	0.9384576	0.8870779	0.8627357	0.7105143	0.9456271	0.794647	0.98071206	0.78733104	0.8390995	0.9316358	0.7975838	0.80235755	0.8499129	0.99029523	0.8930333	0.7525805	0.8099186	0.9257559	0.9139525	0.9825456	0.97354966	0.8653343	0.91140056	0.85871387	0.778299	0.92390686	0.9451502	0.8487793	0.9236301	0.92501605	0.86573255	0.8088337	0.6609799	0.8554811	0.8291421	0.858184	0.8402947	0.9522116	0.8692883	0.9580078	0.6461489	0.8772517	0.778733	0.6637515	0.7287924	0.78084946	0.9086221	0.81809306	0.86166775	0.88324916	0.9016724	0.5970988	0.9279999	0.8702614	0.0	0.9045963	0.9247226	0.97133297	0.8374942	0.7975603	0.9972336	0.9138549	0.67857116	0.5609212	0.81897706	0.9374388	0.71083105	0.95663625	0.90995735	0.9765386	0.8480962	0.9961201	0.86732	0.89205873	0.7202965	0.8197423	0.8394942	0.8223008	0.59342694	0.806031	0.8995318	0.84029007	0.8554691	0.9216901
puur/adj	0.9357404	0.99127805	0.92834395	0.9888473	0.91554517	0.92982924	0.90438217	0.91549796	0.81446964	0.9554191	0.88522106	0.9571874	0.9170874	0.93692786	0.90850747	0.8974492	0.97044015	0.9161815	0.9922242	0.8844374	0.93197805	0.94091785	0.8794226	0.91749537	0.8634709	0.9936469	0.9313819	0.90883625	0.9099127	0.93444514	0.9000803	0.9701381	0.98400444	0.9368717	0.97546226	0.9662641	0.91612345	0.93447626	0.94286346	0.9513896	0.97625256	0.9161413	0.93948185	0.9119993	0.92070305	0.9304222	0.96702087	0.9650919	0.89956295	0.9767008	0.85588026	0.9913712	0.90424186	0.8946451	0.8749338	0.8886427	0.91016454	0.89474577	0.9078528	0.88349116	0.9114628	0.9011845	0.9203317	0.92522824	0.9116236	0.9198398	0.9045963	0.0	0.98105156	0.96534646	0.9131372	0.9571852	1.0	0.98384583	0.8964579	0.9145807	0.8999586	0.9786646	0.8342422	0.9941526	0.92164147	0.9954073	0.89952755	1.0	0.8941045	0.9554213	0.8988626	0.89775836	0.9116557	0.8687408	0.8832392	0.93501395	0.92179793	0.8023964	0.85484004	0.9021628
representatief/adj	0.96764725	0.9929476	0.9510434	0.985708	0.9123625	0.9411623	0.9196681	0.9474514	0.93579453	0.98339623	0.95739156	0.96527743	0.9719513	0.9238455	0.9226434	0.9000007	0.96193004	0.9422614	0.9841933	0.9518292	0.9197191	0.9873349	0.900951	0.9498968	0.94399697	0.99504507	0.9261103	0.9119082	0.92783004	0.9507576	0.9666057	0.9877124	0.9924308	0.93291104	0.9564267	0.96940833	0.9377235	0.9737855	0.9680715	0.9694203	0.96850485	0.97335035	0.9392253	0.93629885	0.8594343	0.9393014	0.8902145	0.96511036	0.9598908	0.980254	0.9780214	0.9890027	0.87015116	0.94864154	0.94391775	0.8947629	0.9110539	0.9312279	0.9606212	0.96066755	0.95711076	0.9583159	0.9662639	0.8594361	0.9498955	0.97648656	0.9247226	0.98105156	0.0	1.0	0.94735444	0.93502694	0.9927439	0.9811741	0.894981	0.8563151	0.92645293	0.97908187	0.89852357	0.9643717	0.95596534	0.9791672	0.91236067	0.9998418	0.93545884	0.9427546	0.90460825	0.9165474	0.9596592	0.9460357	0.86085165	0.9383182	0.98415333	0.9530998	0.9416016	0.9643269
roest_vrij/adj	0.9866187	0.9968133	0.9998232	0.99361795	0.9717281	0.99242765	0.9962425	1.0	0.98948044	0.98654264	0.99940133	0.9953165	1.0	0.97195554	0.9781235	0.9524228	0.9999798	0.9609523	1.0	0.98198926	0.989852	1.0	0.99987584	0.970582	0.9889878	0.9994864	0.9893921	0.9790679	0.9748693	0.9611392	0.9648449	0.9987535	1.0	0.99034786	0.9974031	0.9008529	0.9794347	0.9996581	0.96833	0.99605334	1.0	0.99356633	0.9865423	0.98190665	0.9354966	0.9916341	0.9818129	0.98597807	0.99854183	1.0	0.99859214	1.0	0.9425772	0.9954729	0.9694902	0.96599644	0.9761925	0.9630688	0.96667653	0.9705991	0.9644631	0.96930754	0.9986264	0.9359686	0.97789854	0.98639536	0.97133297	0.96534646	1.0	0.0	0.9634244	0.9859299	0.9917883	0.98237205	0.9657141	0.95606935	0.98818105	1.0	0.95657426	0.9959003	0.9958807	0.98968804	0.9985847	0.984383	0.9733552	0.97125417	0.97065663	0.99015325	0.9974045	0.9745375	0.9563655	0.9863901	0.99719274	0.9661196	0.9717827	0.99345785
rond/adj	0.8853017	0.9881931	0.8998802	0.93913525	0.8540493	0.8701501	0.88105536	0.957833	0.8589914	0.9313409	0.94105774	0.9567571	0.9345209	0.9354573	0.90287864	0.8469442	0.9663062	0.8923839	0.9825337	0.847996	0.8836595	0.9426263	0.89853394	0.86717343	0.87639093	0.9846204	0.9433683	0.85573065	0.8928383	0.9038363	0.9513432	0.9983101	0.9758885	0.93233794	0.962256	0.9802518	0.8873583	0.9009605	0.8862194	0.9410816	0.96455216	0.88770175	0.9380353	0.8546132	0.86232144	0.89612335	0.9276825	0.92630243	0.882262	0.93210244	0.89577276	0.98362863	0.8611283	0.9103534	0.8691851	0.8621913	0.87853944	0.84273773	0.8823043	0.840994	0.878687	0.82932854	0.9144461	0.8324138	0.9244462	0.8898901	0.8374942	0.9131372	0.94735444	0.9634244	0.0	0.9346943	0.984424	0.9510583	0.8533119	0.82884014	0.88241875	0.91727626	0.7962687	0.9467351	0.9205074	0.9979766	0.8912959	0.9875486	0.8964263	0.94831055	0.8094987	0.88484335	0.8671279	0.858369	0.8259392	0.8648234	0.91237277	0.8769683	0.8983052	0.93500227
ruw/adj	0.9471589	0.96208966	0.9321579	0.9204638	0.9056827	0.9379828	0.9218106	0.96991503	0.91151214	0.96301156	0.9523378	0.94266754	0.9382255	0.9174049	0.9184989	0.8285695	0.9847288	0.93238837	0.99053687	0.9269385	0.90025264	0.95673215	0.8942061	0.89578134	0.9184633	0.9923417	0.9520881	0.8525902	0.88586366	0.96599936	0.9755349	0.94941705	0.9868499	0.92964995	0.9748002	0.97320485	0.8830639	0.9550906	0.9750103	0.91079164	0.95603967	0.9646913	0.8644077	0.90287054	0.78029966	0.9472861	0.9154922	0.8920267	0.89684236	0.92731637	0.94075376	0.96664727	0.7477987	0.9690674	0.85262024	0.78568935	0.83076763	0.81617135	0.9714669	0.9498856	0.9355966	0.91690475	0.9299723	0.74495864	0.96077573	0.9602226	0.7975603	0.9571852	0.93502694	0.9859299	0.9346943	0.0	1.0	0.9651664	0.8028054	0.7355021	0.90606844	0.9672104	0.8151126	0.9594729	0.932081	0.9750166	0.93956506	0.9939829	0.92655987	0.93347114	0.8338202	0.89635897	0.9288738	0.9470256	0.7728797	0.91233927	0.95143175	0.9169912	0.939693	0.9553968
slinger_rond/adj	0.98462445	0.99413884	0.97931945	0.99002755	0.9941173	0.980599	0.9985676	1.0	0.9946055	0.9920964	0.9910405	1.0	1.0	1.0	0.99330235	0.99793226	1.0	0.98488426	1.0	0.98540604	0.99519974	1.0	0.95880604	0.9857295	0.97802246	0.99915504	0.93705237	0.96647584	0.99446225	1.0	0.9948269	0.86921155	1.0	0.99300325	0.92592883	0.99745935	0.99745184	1.0	0.9928216	1.0	0.9465646	0.99991065	1.0	0.9799758	0.9948435	0.9821612	0.9867333	0.9916046	0.987101	1.0	1.0	1.0	0.99916434	0.9906972	0.98329365	0.99806994	0.99857104	0.98839104	0.99514776	0.9724702	0.98867315	0.9628435	1.0	0.98910666	0.97741383	0.9988009	0.9972336	1.0	0.9927439	0.9917883	0.984424	1.0	0.0	0.9991121	0.99732685	0.9941446	0.9359043	0.99899864	0.990763	0.9871762	0.94797283	1.0	1.0	1.0	0.98849595	0.98819745	0.9977687	0.99015594	1.0	0.99965507	0.9907891	0.978468	0.9966814	0.98427725	0.9911607	1.0
stel_vrij/verb	0.9515376	0.9373598	0.9688698	0.9827854	0.9429698	0.9552319	0.90968025	0.95342106	0.97482896	0.9792026	0.96476626	0.97523797	0.9816576	0.9682844	0.9601801	0.89831764	0.9756444	0.9444249	0.97191215	0.95479506	0.93630016	0.9667152	0.92958033	0.95480263	0.98386526	0.9941495	0.97114176	0.9111785	0.9132784	0.9758881	0.9844771	0.9965897	0.9896266	0.96360326	0.98509324	0.96649134	0.95144147	0.9963353	0.9733289	0.9890201	0.9809299	0.985639	0.9441117	0.94134164	0.8780173	0.9737428	0.94733214	0.975489	0.98995477	0.99503785	0.99082017	0.98463714	0.8892824	0.9714194	0.9698983	0.91412205	0.9152762	0.93396086	0.9814587	0.9504763	0.95505476	0.9590536	0.9704313	0.8591855	0.9838492	0.95576537	0.9138549	0.98384583	0.9811741	0.98237205	0.9510583	0.9651664	0.9991121	0.0	0.8881531	0.8642423	0.9556626	0.9891169	0.9129294	0.96326786	0.97794396	0.99356073	0.9399125	0.9947863	0.9734934	0.95568687	0.86780703	0.95952773	0.9632026	0.9911374	0.85937995	0.9322553	0.97740066	0.9752235	0.9475436	0.9506222
stuk/noun	0.8948464	0.9781372	0.9058947	0.9179616	0.8012749	0.90221304	0.8559742	0.8705349	0.853328	0.9521711	0.91330296	0.92489845	0.95568794	0.8940047	0.83291745	0.6147796	0.9370007	0.8394165	0.9830159	0.83073044	0.8034853	0.9329332	0.8553347	0.7279215	0.8465169	0.9986345	0.89891464	0.71499264	0.7524962	0.90671456	0.901411	0.9917873	0.97833157	0.8684033	0.9157888	0.9246432	0.7231276	0.8914485	0.9280174	0.8662419	0.95825654	0.9168094	0.8589133	0.869894	0.5671166	0.80705106	0.8150513	0.8415271	0.8170911	0.9808135	0.89290315	0.99273854	0.5531873	0.9016398	0.7218988	0.6141356	0.65960467	0.68251294	0.8922412	0.82095397	0.8607013	0.8257226	0.8641739	0.40677595	0.9237713	0.8634701	0.67857116	0.8964579	0.894981	0.9657141	0.8533119	0.8028054	0.99732685	0.8881531	0.0	0.50675154	0.87053967	0.97231424	0.6522408	0.95194346	0.91262287	0.9740102	0.8044821	0.9981742	0.8254809	0.88555706	0.61641985	0.83346003	0.80708337	0.8242574	0.5201447	0.87122494	0.88461596	0.8311784	0.8919386	0.9206463
ton/noun	0.86410224	0.9678258	0.88031006	0.8740737	0.8017274	0.89931625	0.83259875	0.9258962	0.9631891	0.9524086	0.907187	0.9210935	0.9735484	0.8769044	0.83413184	0.55187106	0.89943546	0.81473565	0.9550964	0.89043796	0.7484655	0.9505796	0.8936794	0.65080065	0.9527224	0.98139095	0.90876883	0.64830625	0.74254966	0.95295423	0.9217334	0.9777443	0.9720639	0.8752818	0.88485014	0.91623354	0.7352073	0.9283277	0.9624591	0.83492196	0.9432883	0.92939866	0.80150914	0.9168383	0.33913928	0.8588476	0.723105	0.7864833	0.77140665	0.9522242	0.95959467	0.9768028	0.39356244	0.9173378	0.66085744	0.43894488	0.5274262	0.6166295	0.9159913	0.84391505	0.84313434	0.8634486	0.8760248	0.2396456	0.9410887	0.8684318	0.5609212	0.9145807	0.8563151	0.95606935	0.82884014	0.7355021	0.9941446	0.8642423	0.50675154	0.0	0.9172325	0.9730674	0.6437957	0.92558473	0.8670704	0.95781153	0.7864436	0.98248696	0.85435104	0.8082572	0.5848162	0.86780334	0.78006965	0.91027266	0.33448792	0.9004395	0.915158	0.9576561	0.94603443	0.9165738
