	al/adv	avontuur/noun	behoorlijk/adj	besluit/noun	bestaan/noun	bijzonder/adj	capriool/noun	dans/noun	dat/det	even/adj	even/adv	exercitie/noun	genoeg/adv	het/det	hoe/adj	impasse/noun	klus/noun	koor/noun	kwestie/noun	meest/adj	moment/noun	omstandigheid/noun	onderdeel/noun	onderneming/noun	onderweg/adj	onderwerp/noun	op/adj	opdracht/noun	operatie/noun	opgaaf/noun	oversteek/noun	parkoers/noun	plotseling/adj	poging/noun	positie/noun	prognose/noun	publicitair/adj	reis/noun	rit/noun	situatie/noun	soms/adv	sport/noun	stand_DIM/noun	standpunt/noun	steeds/adv	strijd/noun	structuur/noun	stunt_werk/noun	tafereel/noun	toch/adv	tocht/noun	toer/noun	toestand/noun	trek_aan/verb	uiterst/adj	veiligheid_situatie/noun	vergelijk/verb	voorspel/verb	wat/adv	zaak/noun	zo/adj	zo/adv
al/adv	0.0	0.88112634	0.8276957	0.8815215	0.8754236	0.888942	0.9362323	0.9371971	0.8367589	0.8137198	0.8624855	0.94644505	0.8547002	0.8538175	0.85116315	0.8929251	0.8785558	0.93212557	0.88161856	0.84579223	0.84829444	0.87055314	0.91483265	0.87742543	0.86528397	0.8560946	0.8349385	0.8990333	0.8624212	0.898202	0.9242575	0.90201724	0.8230455	0.87950426	0.8979447	0.8905658	0.92967296	0.8833297	0.9002269	0.88148147	0.82671434	0.8870512	0.9432745	0.9095816	0.7391449	0.889112	0.9114752	0.91076505	0.9024318	0.72222435	0.88603485	0.89952576	0.8732474	0.890124	0.8881477	0.9384764	0.9017702	0.8477028	0.8401129	0.8842691	0.8623966	0.7927891
avontuur/noun	0.88112634	0.0	0.8033874	0.89261454	0.7679639	0.7879203	0.83583015	0.7270993	0.870968	0.8169873	0.74619734	0.8629096	0.8232842	0.85682154	0.78659004	0.8679995	0.84486735	0.8434805	0.8423138	0.78686357	0.7886402	0.828528	0.8807434	0.8138766	0.8132199	0.80890834	0.8264878	0.84475577	0.8286947	0.8426379	0.86077046	0.8545113	0.8057224	0.8170884	0.8714105	0.90979683	0.8933073	0.72122437	0.8443842	0.8075717	0.7039226	0.8488444	0.84957236	0.86941856	0.81395775	0.81133235	0.8539129	0.86854345	0.7162571	0.79684603	0.72918046	0.8269	0.7827598	0.8548528	0.79152024	0.9195519	0.8207594	0.8399839	0.80052376	0.87991846	0.82962596	0.78517556
behoorlijk/adj	0.8276957	0.8033874	0.0	0.8567269	0.8257118	0.6564636	0.8869728	0.8194502	0.77191335	0.7328778	0.6675546	0.9395206	0.6948528	0.78912085	0.7086843	0.9296984	0.8569336	0.84830344	0.7993771	0.7054093	0.81625634	0.77705556	0.8262761	0.8131825	0.82394516	0.80637926	0.85649765	0.8506416	0.8587582	0.8717661	0.9217387	0.82440144	0.76866835	0.82574797	0.82833457	0.87316895	0.91549027	0.85831714	0.8495787	0.797909	0.6117256	0.82143927	0.89735496	0.8047905	0.678781	0.8772496	0.75505835	0.8933306	0.808435	0.68505424	0.85378796	0.8164557	0.79494876	0.80792326	0.65835047	0.92379147	0.81336194	0.81911945	0.5938871	0.8594135	0.6196063	0.6504667
besluit/noun	0.8815215	0.89261454	0.8567269	0.0	0.8643037	0.84173024	0.9516039	0.9299537	0.8063619	0.878863	0.83400583	0.9068944	0.86624616	0.8238436	0.85507554	0.85910493	0.902877	0.9124717	0.79325765	0.85509205	0.8756156	0.82590574	0.8417617	0.82545984	0.92229223	0.8375977	0.87944317	0.81209344	0.789443	0.8872831	0.95102125	0.91999733	0.8587476	0.7828126	0.8176789	0.82127076	0.938725	0.90550196	0.93559587	0.81123644	0.8534987	0.9225074	0.9399151	0.6273554	0.85340166	0.84574616	0.82568496	0.9417319	0.9145035	0.8560224	0.92911816	0.9261594	0.83983153	0.8954242	0.8145746	0.85954857	0.88889176	0.8706118	0.87381506	0.79874223	0.8846637	0.83791196
bestaan/noun	0.8754236	0.7679639	0.8257118	0.8643037	0.0	0.78499097	0.90719664	0.81722265	0.8397143	0.8408388	0.7756087	0.918143	0.83912265	0.79719406	0.7906256	0.9062462	0.8943436	0.8646188	0.8466675	0.79648066	0.82130337	0.78658915	0.84043896	0.8287788	0.8575885	0.82397604	0.8347985	0.84805906	0.8659021	0.8688187	0.9118505	0.8939822	0.79564804	0.8173226	0.8076712	0.9150941	0.9425881	0.7897882	0.87643534	0.8058295	0.7474004	0.8486907	0.9180545	0.8595376	0.79093987	0.81965315	0.78640264	0.9312636	0.80557686	0.81936115	0.78194785	0.8985568	0.8017466	0.85395885	0.8078509	0.9298012	0.8328001	0.84659165	0.8170383	0.8545471	0.8317141	0.7981753
bijzonder/adj	0.888942	0.7879203	0.6564636	0.84173024	0.78499097	0.0	0.887006	0.75407934	0.81803465	0.7471428	0.6064074	0.88111484	0.63153833	0.8346756	0.66998917	0.91365886	0.83746564	0.8124728	0.8168044	0.599635	0.7918362	0.7709258	0.7845778	0.8259169	0.8438634	0.72317505	0.84788036	0.82085216	0.8495922	0.86990935	0.91364896	0.8495244	0.7897917	0.83410877	0.85335666	0.888825	0.88138425	0.8207356	0.9033755	0.7943176	0.60949254	0.7995886	0.87854886	0.82284826	0.7100246	0.8764976	0.74328685	0.90428126	0.7742756	0.74412704	0.81591964	0.85550106	0.8052447	0.82200116	0.50250614	0.91402173	0.8041347	0.85984343	0.6673225	0.85433227	0.61486065	0.5926759
capriool/noun	0.9362323	0.83583015	0.8869728	0.9516039	0.90719664	0.887006	0.0	0.8627206	0.92479086	0.8938421	0.8581639	0.9354332	0.9023843	0.94356346	0.8821017	0.94662046	0.9257783	0.9147665	0.93755984	0.86159	0.891128	0.91268164	0.9423471	0.92960155	0.8821686	0.9445105	0.92305905	0.9300282	0.943465	0.9338934	0.9197963	0.8994189	0.9123619	0.9217502	0.9196507	0.9417104	0.94607556	0.9179613	0.9296313	0.8813383	0.8467015	0.8945948	0.8601352	0.95212865	0.8840312	0.937884	0.9343488	0.8529859	0.8806069	0.9032108	0.88841075	0.8304436	0.89464027	0.91306984	0.9108985	0.95891845	0.94787836	0.9360375	0.9102711	0.93175614	0.9034698	0.8798526
dans/noun	0.9371971	0.7270993	0.8194502	0.9299537	0.81722265	0.75407934	0.8627206	0.0	0.90978706	0.84405017	0.74759245	0.9240404	0.84260833	0.8336681	0.8365009	0.91308963	0.92368937	0.71866214	0.84861356	0.78616667	0.83999085	0.8749521	0.8390609	0.91556954	0.8672055	0.7800452	0.8902084	0.8862344	0.9184368	0.8871287	0.92370325	0.8548046	0.825902	0.8760548	0.9113866	0.9496139	0.93572104	0.83428955	0.90302944	0.89009935	0.7164985	0.7275027	0.83882624	0.88742983	0.8348849	0.88248706	0.7990048	0.8964124	0.74338114	0.8876011	0.81754786	0.79475915	0.85769	0.8520946	0.76856637	0.9543939	0.82713425	0.9091305	0.7968024	0.91171664	0.8317043	0.82563245
dat/det	0.8367589	0.870968	0.77191335	0.8063619	0.8397143	0.81803465	0.92479086	0.90978706	0.0	0.80323505	0.8118711	0.8906193	0.7698901	0.7197262	0.6698476	0.8831013	0.86021274	0.93129027	0.7942531	0.8295159	0.8282937	0.8027403	0.90522534	0.84566367	0.9063775	0.8552263	0.8967907	0.85693866	0.84822536	0.86181736	0.8951158	0.91470945	0.85048765	0.8252338	0.850806	0.8481622	0.86471874	0.88920856	0.91672575	0.7393136	0.70696425	0.82317454	0.94415224	0.8056576	0.7891094	0.8932822	0.85516256	0.87991357	0.8759109	0.5813257	0.91948116	0.9159698	0.81923074	0.90957373	0.8197421	0.8937934	0.8830299	0.85300094	0.77696335	0.8122678	0.798776	0.67137456
even/adj	0.8137198	0.8169873	0.7328778	0.878863	0.8408388	0.7471428	0.8938421	0.84405017	0.80323505	0.0	0.56653625	0.9378178	0.7006997	0.8315231	0.68923056	0.92467266	0.8768071	0.84507656	0.82678455	0.77810925	0.6987222	0.82880884	0.90455115	0.9270735	0.7487854	0.8388026	0.7959799	0.88614804	0.87745595	0.8855109	0.91942215	0.84419996	0.68223226	0.8364763	0.86698914	0.91746867	0.9479817	0.84600097	0.8551613	0.84264016	0.58424485	0.87091243	0.8926488	0.8713591	0.7196995	0.9024012	0.863516	0.9195709	0.78518856	0.6338184	0.83857787	0.85381645	0.81610453	0.85131353	0.72654724	0.93558735	0.8688219	0.8556953	0.5921384	0.8912232	0.7185292	0.6147485
even/adv	0.8624855	0.74619734	0.6675546	0.83400583	0.7756087	0.6064074	0.8581639	0.74759245	0.8118711	0.56653625	0.0	0.9040188	0.62152874	0.8101601	0.6331855	0.8957956	0.84793735	0.8163409	0.8291273	0.6073789	0.73551625	0.78865373	0.8365127	0.8454478	0.79492027	0.7529766	0.8107767	0.83337677	0.8401233	0.8658633	0.89624524	0.8034712	0.7035489	0.76555073	0.8267943	0.8892205	0.9272193	0.80255556	0.85007644	0.78387684	0.5336559	0.8306898	0.87889534	0.7883194	0.71114004	0.81506383	0.7641295	0.8938216	0.69907904	0.7450856	0.7846029	0.8200036	0.75737965	0.8147447	0.56280166	0.9347415	0.8041857	0.8259552	0.60905194	0.87274486	0.6051656	0.5459088
exercitie/noun	0.94644505	0.8629096	0.9395206	0.9068944	0.918143	0.88111484	0.9354332	0.9240404	0.8906193	0.9378178	0.9040188	0.0	0.93183416	0.9286828	0.924647	0.8842832	0.91907716	0.9393637	0.8593347	0.9091336	0.91080374	0.9297638	0.94799125	0.8851127	0.9607888	0.89354014	0.9547619	0.9154757	0.85711026	0.9089205	0.92958695	0.9597051	0.9511222	0.8920909	0.9269805	0.9472642	0.9292151	0.8953636	0.9384584	0.8822387	0.89596593	0.9122598	0.92121744	0.8867737	0.92471856	0.9254145	0.92405057	0.89161456	0.92354566	0.9123474	0.90819174	0.911656	0.89684576	0.9631735	0.87792164	0.9131358	0.9622115	0.94319314	0.8874002	0.89574736	0.94777125	0.92032903
genoeg/adv	0.8547002	0.8232842	0.6948528	0.86624616	0.83912265	0.63153833	0.9023843	0.84260833	0.7698901	0.7006997	0.62152874	0.93183416	0.0	0.84569895	0.6459747	0.9093157	0.87688273	0.8912063	0.82744426	0.67644966	0.81670684	0.796043	0.8546189	0.8496629	0.8662114	0.8123958	0.8561222	0.8440317	0.86208105	0.87035626	0.9280289	0.8766134	0.79875	0.82075125	0.86312634	0.87537616	0.8946638	0.8734313	0.8978845	0.7958121	0.6738174	0.8367243	0.8984262	0.8126795	0.7042593	0.8757162	0.8044098	0.9110622	0.8257202	0.67895246	0.85769325	0.86824554	0.80506897	0.81513083	0.6312866	0.92753863	0.84101707	0.8473508	0.679288	0.86788774	0.65349364	0.57127225
het/det	0.8538175	0.85682154	0.78912085	0.8238436	0.79719406	0.8346756	0.94356346	0.8336681	0.7197262	0.8315231	0.8101601	0.9286828	0.84569895	0.0	0.82987636	0.8686675	0.864117	0.86605704	0.8107299	0.8608844	0.8534269	0.81608665	0.7687275	0.80064756	0.8427081	0.8318011	0.87460965	0.8344439	0.8395955	0.8579529	0.91168547	0.8595967	0.8069211	0.8041881	0.8454813	0.87691313	0.8923734	0.8277155	0.87208223	0.8578245	0.82222474	0.8581423	0.9122472	0.82974577	0.78455836	0.7953354	0.81039757	0.9461887	0.85043573	0.8242446	0.80680144	0.87716824	0.8193404	0.85090244	0.828669	0.90333194	0.7895918	0.81470215	0.841462	0.84612364	0.86214614	0.8421329
hoe/adj	0.85116315	0.78659004	0.7086843	0.85507554	0.7906256	0.66998917	0.8821017	0.8365009	0.6698476	0.68923056	0.6331855	0.924647	0.6459747	0.82987636	0.0	0.88786376	0.8799671	0.9038477	0.77461225	0.70871234	0.74049294	0.7481482	0.8631759	0.8439587	0.86252105	0.7355503	0.85806274	0.84981465	0.8603498	0.8454834	0.91764784	0.8941939	0.78327394	0.810011	0.8089436	0.8830385	0.9031393	0.8628507	0.92000836	0.6789706	0.5950929	0.8242792	0.8933565	0.7654443	0.6858635	0.85787034	0.7707583	0.90928835	0.7688114	0.6865309	0.8579364	0.9013323	0.75209594	0.86625826	0.64582187	0.8697237	0.7880367	0.83206964	0.70824826	0.81794906	0.6091784	0.49981612
impasse/noun	0.8929251	0.8679995	0.9296984	0.85910493	0.9062462	0.91365886	0.94662046	0.91308963	0.8831013	0.92467266	0.8957956	0.8842832	0.9093157	0.8686675	0.88786376	0.0	0.92898226	0.94428676	0.7906493	0.8953579	0.9023835	0.88235855	0.924644	0.8891924	0.9298809	0.8604737	0.94355685	0.8909452	0.8678663	0.88078964	0.9154171	0.94185865	0.90037537	0.8118556	0.8435678	0.9222222	0.89269704	0.91563576	0.93332154	0.7772921	0.88709533	0.93297946	0.9387465	0.8653976	0.87432164	0.8400856	0.87904996	0.9167589	0.91433525	0.9219762	0.9279535	0.9320542	0.83553684	0.94636744	0.8696852	0.8637342	0.9292379	0.8775839	0.9293534	0.85067654	0.92336345	0.9087385
klus/noun	0.8785558	0.84486735	0.8569336	0.902877	0.8943436	0.83746564	0.9257783	0.92368937	0.86021274	0.8768071	0.84793735	0.91907716	0.87688273	0.864117	0.8799671	0.92898226	0.0	0.9140031	0.88189995	0.8484136	0.8827867	0.8351569	0.87195504	0.8230842	0.8882302	0.8647078	0.88528436	0.7175309	0.8493104	0.8285775	0.914549	0.85621834	0.8641463	0.88473964	0.87617207	0.9226301	0.9218848	0.86703795	0.8530525	0.8548548	0.8580734	0.8925964	0.9142716	0.91488683	0.87571317	0.89359057	0.8923941	0.92042094	0.88093543	0.8315449	0.8479294	0.89371014	0.876764	0.85770214	0.8414299	0.95563036	0.9225546	0.8977712	0.87465626	0.84180737	0.87770796	0.83561
koor/noun	0.93212557	0.8434805	0.84830344	0.9124717	0.8646188	0.8124728	0.9147665	0.71866214	0.93129027	0.84507656	0.8163409	0.9393637	0.8912063	0.86605704	0.9038477	0.94428676	0.9140031	0.0	0.9144	0.84719336	0.8872615	0.9243809	0.9121432	0.9069433	0.87498736	0.88311636	0.9110328	0.8993164	0.92796046	0.9108151	0.9459945	0.90948576	0.83246046	0.91211134	0.9147961	0.94545233	0.94673645	0.9034047	0.94264793	0.9190407	0.7716774	0.8964844	0.8982727	0.8902624	0.8718929	0.90277284	0.8466915	0.94523287	0.82688856	0.9015362	0.87019944	0.8731741	0.89281964	0.863261	0.82919484	0.96088386	0.8765847	0.8920356	0.843212	0.92956424	0.87067	0.8545627
kwestie/noun	0.88161856	0.8423138	0.7993771	0.79325765	0.8466675	0.8168044	0.93755984	0.84861356	0.7942531	0.82678455	0.8291273	0.8593347	0.82744426	0.8107299	0.77461225	0.7906493	0.88189995	0.9144	0.0	0.83012944	0.82680213	0.8178419	0.8011891	0.8029343	0.9036026	0.5930986	0.8885166	0.8021562	0.82747245	0.8690519	0.9578244	0.9119893	0.82577056	0.79631245	0.804983	0.9178357	0.9097555	0.8957991	0.94586664	0.74579	0.75822365	0.8249476	0.93214035	0.7177702	0.77932036	0.78294104	0.76774335	0.94541764	0.8924543	0.81199527	0.91504824	0.90927565	0.8061534	0.8657187	0.77389854	0.8755452	0.8273488	0.88812214	0.81720144	0.585469	0.8351952	0.8098747
meest/adj	0.84579223	0.78686357	0.7054093	0.85509205	0.79648066	0.599635	0.86159	0.78616667	0.8295159	0.77810925	0.6073789	0.9091336	0.67644966	0.8608844	0.70871234	0.8953579	0.8484136	0.84719336	0.83012944	0.0	0.7732471	0.7587932	0.7954853	0.79522073	0.82772803	0.7412208	0.8238292	0.82706904	0.8475615	0.86135703	0.86361396	0.8560217	0.7840092	0.8258554	0.78751945	0.84777504	0.92061764	0.80647475	0.8921634	0.77409303	0.66843796	0.8057128	0.8811589	0.7866628	0.6624781	0.8214716	0.8040681	0.9185059	0.7640373	0.7675238	0.820111	0.8455205	0.78174376	0.7692374	0.5848719	0.91409504	0.7826984	0.7940154	0.7550287	0.85026115	0.708168	0.6125556
moment/noun	0.84829444	0.7886402	0.81625634	0.8756156	0.82130337	0.7918362	0.891128	0.83999085	0.8282937	0.6987222	0.73551625	0.91080374	0.81670684	0.8534269	0.74049294	0.9023835	0.8827867	0.8872615	0.82680213	0.7732471	0.0	0.7771869	0.8843632	0.89168453	0.84907717	0.80504984	0.87819135	0.8686166	0.8784404	0.8888351	0.9005485	0.9029362	0.7220317	0.85125923	0.8031553	0.92188287	0.9197184	0.82579887	0.8830871	0.76658213	0.68641937	0.8741963	0.90848875	0.8928015	0.7758764	0.86420786	0.8582916	0.9099504	0.7406537	0.73872864	0.84675825	0.8783772	0.79137725	0.9108262	0.7913612	0.9011785	0.8684643	0.8527289	0.8039051	0.86572486	0.78779304	0.75969994
omstandigheid/noun	0.87055314	0.828528	0.77705556	0.82590574	0.78658915	0.7709258	0.91268164	0.8749521	0.8027403	0.82880884	0.78865373	0.9297638	0.796043	0.81608665	0.7481482	0.88235855	0.8351569	0.9243809	0.8178419	0.7587932	0.7771869	0.0	0.8744146	0.83700037	0.8643106	0.8189056	0.8679639	0.83535004	0.8288614	0.83647215	0.8937036	0.8553226	0.81883246	0.82374156	0.75268066	0.86970663	0.90520257	0.86385965	0.8888208	0.5795959	0.7531536	0.85657734	0.9280926	0.81390524	0.75597453	0.8458352	0.7875412	0.9095086	0.82229626	0.7923397	0.81534594	0.9023828	0.6452517	0.8575531	0.7263893	0.8416155	0.84776884	0.8262308	0.82523584	0.81117785	0.75908446	0.7578952
onderdeel/noun	0.91483265	0.8807434	0.8262761	0.8417617	0.84043896	0.7845778	0.9423471	0.8390609	0.90522534	0.90455115	0.8365127	0.94799125	0.8546189	0.7687275	0.8631759	0.924644	0.87195504	0.9121432	0.8011891	0.7954853	0.8843632	0.8744146	0.0	0.6999056	0.8687032	0.7860817	0.9025527	0.8096348	0.8192596	0.88378763	0.92464656	0.88864803	0.8707832	0.84754354	0.8245727	0.9144506	0.937441	0.8615262	0.9235671	0.91364586	0.846692	0.83233815	0.91839635	0.8663815	0.79836017	0.8546349	0.72360426	0.9555922	0.886163	0.9203345	0.87186253	0.87955165	0.874001	0.85581	0.77349114	0.9416881	0.82773924	0.8709496	0.8869953	0.84583366	0.87388015	0.88443285
onderneming/noun	0.87742543	0.8138766	0.8131825	0.82545984	0.8287788	0.8259169	0.92960155	0.91556954	0.84566367	0.9270735	0.8454478	0.8851127	0.8496629	0.80064756	0.8439587	0.8891924	0.8230842	0.9069433	0.8029343	0.79522073	0.89168453	0.83700037	0.6999056	0.0	0.91208845	0.81973106	0.9087966	0.7832566	0.7819987	0.88216114	0.9003103	0.9052652	0.8622844	0.8118974	0.76968277	0.8315247	0.87464285	0.8698036	0.9281524	0.82754815	0.8749589	0.84203756	0.9042364	0.83896446	0.7640966	0.8806696	0.7552889	0.9300963	0.91860527	0.8720962	0.87756705	0.8792926	0.8451311	0.8186251	0.80744386	0.91361004	0.8595561	0.8216047	0.87700385	0.7793596	0.8928347	0.8513598
onderweg/adj	0.86528397	0.8132199	0.82394516	0.92229223	0.8575885	0.8438634	0.8821686	0.8672055	0.9063775	0.7487854	0.79492027	0.9607888	0.8662114	0.8427081	0.86252105	0.9298809	0.8882302	0.87498736	0.9036026	0.82772803	0.84907717	0.8643106	0.8687032	0.91208845	0.0	0.8824465	0.7651454	0.8608231	0.88852715	0.8842381	0.86420846	0.7825578	0.7574002	0.87299037	0.8906061	0.956463	0.94152904	0.750584	0.7777473	0.910252	0.7816827	0.89970654	0.8576376	0.920721	0.846537	0.8879421	0.89857733	0.9474509	0.8436647	0.8749711	0.6897044	0.84731066	0.8490538	0.8716491	0.8495663	0.9382721	0.8699619	0.8720269	0.84187216	0.91633487	0.86513865	0.8735312
onderwerp/noun	0.8560946	0.80890834	0.80637926	0.8375977	0.82397604	0.72317505	0.9445105	0.7800452	0.8552263	0.8388026	0.7529766	0.89354014	0.8123958	0.8318011	0.7355503	0.8604737	0.8647078	0.88311636	0.5930986	0.7412208	0.80504984	0.8189056	0.7860817	0.81973106	0.8824465	0.0	0.88857555	0.7890011	0.8784016	0.8448248	0.92485976	0.8787646	0.8204204	0.83493733	0.82546455	0.90916914	0.9093409	0.8408971	0.9406499	0.7844609	0.71808386	0.7766993	0.86953473	0.70185065	0.7483914	0.81549287	0.76833427	0.93197405	0.79789436	0.8283318	0.87337804	0.8919995	0.8034949	0.8655668	0.74211705	0.90416944	0.8105728	0.86730635	0.7856732	0.7104591	0.7821606	0.7384703
op/adj	0.8349385	0.8264878	0.85649765	0.87944317	0.8347985	0.84788036	0.92305905	0.8902084	0.8967907	0.7959799	0.8107767	0.9547619	0.8561222	0.87460965	0.85806274	0.94355685	0.88528436	0.9110328	0.8885166	0.8238292	0.87819135	0.8679639	0.9025527	0.9087966	0.7651454	0.88857555	0.0	0.8657787	0.881406	0.8989897	0.93041813	0.8753801	0.82185805	0.8308803	0.90220934	0.95552194	0.95836604	0.8333536	0.89501715	0.87921274	0.7951253	0.8865307	0.9274063	0.90207475	0.8166098	0.8895661	0.91399246	0.969412	0.87173605	0.8527405	0.82490873	0.9024695	0.875599	0.8414645	0.85190874	0.9634569	0.85893065	0.9127615	0.8380786	0.8880337	0.87580657	0.84108424
opdracht/noun	0.8990333	0.84475577	0.8506416	0.81209344	0.84805906	0.82085216	0.9300282	0.8862344	0.85693866	0.88614804	0.83337677	0.9154757	0.8440317	0.8344439	0.84981465	0.8909452	0.7175309	0.8993164	0.8021562	0.82706904	0.8686166	0.83535004	0.8096348	0.7832566	0.8608231	0.7890011	0.8657787	0.0	0.7998557	0.77471036	0.92854005	0.88528794	0.8660923	0.83320844	0.80668443	0.8866094	0.90623343	0.8509451	0.8895014	0.8480952	0.83268374	0.891872	0.9299732	0.81435513	0.821378	0.86975545	0.8357783	0.951349	0.88113046	0.86456877	0.870242	0.8957703	0.86762685	0.8556255	0.80473244	0.907578	0.85852355	0.885609	0.8738771	0.7899216	0.84293556	0.82792926
operatie/noun	0.8624212	0.8286947	0.8587582	0.789443	0.8659021	0.8495922	0.943465	0.9184368	0.84822536	0.87745595	0.8401233	0.85711026	0.86208105	0.8395955	0.8603498	0.8678663	0.8493104	0.92796046	0.82747245	0.8475615	0.8784404	0.8288614	0.8192596	0.7819987	0.88852715	0.8784016	0.881406	0.7998557	0.0	0.8608642	0.8912213	0.9087664	0.8434565	0.75790954	0.86159754	0.87678546	0.90280914	0.8346869	0.8774187	0.83160526	0.8186094	0.9005607	0.9321256	0.85176235	0.81048024	0.77165896	0.8387692	0.9322423	0.8979094	0.87762105	0.8393674	0.89378625	0.7984298	0.88689685	0.81326485	0.896026	0.8658651	0.8509333	0.8924863	0.81708163	0.87858707	0.86816335
opgaaf/noun	0.898202	0.8426379	0.8717661	0.8872831	0.8688187	0.86990935	0.9338934	0.8871287	0.86181736	0.8855109	0.8658633	0.9089205	0.87035626	0.8579529	0.8454834	0.88078964	0.8285775	0.9108151	0.8690519	0.86135703	0.8888351	0.83647215	0.88378763	0.88216114	0.8842381	0.8448248	0.8989897	0.77471036	0.8608642	0.0	0.9380619	0.87355065	0.87773204	0.8726609	0.8659285	0.8805961	0.9354233	0.8818926	0.8502776	0.84806967	0.8320996	0.8948206	0.9442186	0.87705415	0.85950196	0.877736	0.8690198	0.93359417	0.88277406	0.8683331	0.85156846	0.9084487	0.8550114	0.90527916	0.8608311	0.91536975	0.8913096	0.8815936	0.89863676	0.87689304	0.88367474	0.85892045
