	al/adv	avontuur/noun	behoorlijk/adj	besluit/noun	bestaan/noun	bijzonder/adj	capriool/noun	dans/noun	dat/det	even/adj	even/adv	exercitie/noun	genoeg/adv	het/det	hoe/adj	impasse/noun	klus/noun	koor/noun	kwestie/noun	meest/adj	moment/noun	omstandigheid/noun	onderdeel/noun	onderneming/noun	onderweg/adj	onderwerp/noun	op/adj	opdracht/noun	operatie/noun	opgaaf/noun	oversteek/noun	parkoers/noun	plotseling/adj	poging/noun	positie/noun	prognose/noun	publicitair/adj	reis/noun	rit/noun	situatie/noun	soms/adv	sport/noun	stand_DIM/noun	standpunt/noun	steeds/adv	strijd/noun	structuur/noun	stunt_werk/noun	tafereel/noun	toch/adv	tocht/noun	toer/noun	toestand/noun	trek_aan/verb	uiterst/adj	veiligheid_situatie/noun	vergelijk/verb	voorspel/verb	wat/adv	zaak/noun	zo/adj	zo/adv
oversteek/noun	0.9242575	0.86077046	0.9217387	0.95102125	0.9118505	0.91364896	0.9197963	0.92370325	0.8951158	0.91942215	0.89624524	0.92958695	0.9280289	0.91168547	0.91764784	0.9154171	0.914549	0.9459945	0.9578244	0.86361396	0.9005485	0.8937036	0.92464656	0.9003103	0.86420846	0.92485976	0.93041813	0.92854005	0.8912213	0.9380619	0.0	0.87220263	0.90153337	0.9151685	0.9233569	0.92177427	0.9322664	0.84058946	0.9055609	0.9095109	0.9064826	0.9299691	0.9123579	0.9366243	0.8978712	0.9237637	0.9481144	0.9239876	0.9129438	0.93019396	0.8152827	0.91642743	0.8946494	0.9338875	0.90097326	0.94819766	0.9392304	0.9291978	0.9248485	0.9227346	0.9250318	0.915421
parkoers/noun	0.90201724	0.8545113	0.82440144	0.91999733	0.8939822	0.8495244	0.8994189	0.8548046	0.91470945	0.84419996	0.8034712	0.9597051	0.8766134	0.8595967	0.8941939	0.94185865	0.85621834	0.90948576	0.9119893	0.8560217	0.9029362	0.8553226	0.88864803	0.9052652	0.7825578	0.8787646	0.8753801	0.88528794	0.9087664	0.87355065	0.87220263	0.0	0.83463407	0.8910945	0.8892098	0.93477196	0.9484328	0.8358809	0.6905614	0.9111597	0.8011475	0.8822209	0.8973004	0.92550254	0.859807	0.925401	0.8612271	0.93043166	0.86549115	0.86194324	0.68922484	0.87332743	0.88336885	0.8979498	0.8338093	0.9756233	0.89965355	0.90587467	0.84860045	0.9292693	0.8441729	0.8710135
plotseling/adj	0.8230455	0.8057224	0.76866835	0.8587476	0.79564804	0.7897917	0.9123619	0.825902	0.85048765	0.68223226	0.7035489	0.9511222	0.79875	0.8069211	0.78327394	0.90037537	0.8641463	0.83246046	0.82577056	0.7840092	0.7220317	0.81883246	0.8707832	0.8622844	0.7574002	0.8204204	0.82185805	0.8660923	0.8434565	0.87773204	0.90153337	0.83463407	0.0	0.79793173	0.86005783	0.9021916	0.9150544	0.848796	0.8633334	0.8405638	0.68423516	0.8358215	0.912677	0.89076644	0.715161	0.82250905	0.8441675	0.918451	0.7958931	0.7803842	0.82554185	0.8556799	0.797755	0.82325387	0.78519785	0.9256784	0.8067492	0.809154	0.7469299	0.86880946	0.77243084	0.7630748
poging/noun	0.87950426	0.8170884	0.82574797	0.7828126	0.8173226	0.83410877	0.9217502	0.8760548	0.8252338	0.8364763	0.76555073	0.8920909	0.82075125	0.8041881	0.810011	0.8118556	0.88473964	0.91211134	0.79631245	0.8258554	0.85125923	0.82374156	0.84754354	0.8118974	0.87299037	0.83493733	0.8308803	0.83320844	0.75790954	0.8726609	0.9151685	0.8910945	0.79793173	0.0	0.8263875	0.9014651	0.91886175	0.8782666	0.9127324	0.81300926	0.7656947	0.8678859	0.9382287	0.79912615	0.7916272	0.71987355	0.82728094	0.9169103	0.87518185	0.82633644	0.85809255	0.90116054	0.8125436	0.8636123	0.78607965	0.914135	0.8217719	0.8373291	0.7994869	0.81437665	0.82683164	0.8023882
positie/noun	0.8979447	0.8714105	0.82833457	0.8176789	0.8076712	0.85335666	0.9196507	0.9113866	0.850806	0.86698914	0.8267943	0.9269805	0.86312634	0.8454813	0.8089436	0.8435678	0.87617207	0.9147961	0.804983	0.78751945	0.8031553	0.75268066	0.8245727	0.76968277	0.8906061	0.82546455	0.90220934	0.80668443	0.86159754	0.8659285	0.9233569	0.8892098	0.86005783	0.8263875	0.0	0.8422551	0.895071	0.89098597	0.8880946	0.6473868	0.8439143	0.88643444	0.9076308	0.7436341	0.767819	0.8027648	0.75866187	0.92038184	0.92109704	0.8379164	0.90839493	0.9089317	0.74188256	0.8449053	0.7950206	0.8402172	0.8777155	0.8560632	0.87151676	0.84963363	0.8606071	0.8331181
prognose/noun	0.8905658	0.90979683	0.87316895	0.82127076	0.9150941	0.888825	0.9417104	0.9496139	0.8481622	0.91746867	0.8892205	0.9472642	0.87537616	0.87691313	0.8830385	0.9222222	0.9226301	0.94545233	0.9178357	0.84777504	0.92188287	0.86970663	0.9144506	0.8315247	0.956463	0.90916914	0.95552194	0.8866094	0.87678546	0.8805961	0.92177427	0.93477196	0.9021916	0.9014651	0.8422551	0.0	0.96060824	0.9328794	0.9466606	0.8373646	0.87825173	0.9423078	0.95132124	0.8179054	0.84458673	0.9252513	0.87163997	0.9375832	0.9169385	0.850203	0.95895994	0.9494481	0.8519356	0.87946665	0.859719	0.8846343	0.8852551	0.7230618	0.9075642	0.9228729	0.91093105	0.8965144
publicitair/adj	0.92967296	0.8933073	0.91549027	0.938725	0.9425881	0.88138425	0.94607556	0.93572104	0.86471874	0.9479817	0.9272193	0.9292151	0.8946638	0.8923734	0.9031393	0.89269704	0.9218848	0.94673645	0.9097555	0.92061764	0.9197184	0.90520257	0.937441	0.87464285	0.94152904	0.9093409	0.95836604	0.90623343	0.90280914	0.9354233	0.9322664	0.9484328	0.9150544	0.91886175	0.895071	0.96060824	0.0	0.923802	0.9446292	0.8968959	0.90387	0.9038678	0.9126723	0.9195638	0.8896007	0.9131023	0.9298006	0.8526765	0.9470302	0.8822162	0.9230061	0.9429655	0.936668	0.9354339	0.9094732	0.93032837	0.9517013	0.9203066	0.9373251	0.9003531	0.92808884	0.9088167
reis/noun	0.8833297	0.72122437	0.85831714	0.90550196	0.7897882	0.8207356	0.9179613	0.83428955	0.88920856	0.84600097	0.80255556	0.8953636	0.8734313	0.8277155	0.8628507	0.91563576	0.86703795	0.9034047	0.8957991	0.80647475	0.82579887	0.86385965	0.8615262	0.8698036	0.750584	0.8408971	0.8333536	0.8509451	0.8346869	0.8818926	0.84058946	0.8358809	0.848796	0.8782666	0.89098597	0.9328794	0.923802	0.0	0.7533196	0.87655324	0.7949449	0.840022	0.88604033	0.903047	0.84924185	0.86454463	0.87005633	0.93059355	0.8151492	0.8592477	0.60375774	0.8297072	0.84786123	0.8529736	0.8489629	0.9433988	0.8511269	0.8873374	0.8587281	0.91235316	0.862569	0.85013294
rit/noun	0.9002269	0.8443842	0.8495787	0.93559587	0.87643534	0.9033755	0.9296313	0.90302944	0.91672575	0.8551613	0.85007644	0.9384584	0.8978845	0.87208223	0.92000836	0.93332154	0.8530525	0.94264793	0.94586664	0.8921634	0.8830871	0.8888208	0.9235671	0.9281524	0.7777473	0.9406499	0.89501715	0.8895014	0.8774187	0.8502776	0.9055609	0.6905614	0.8633334	0.9127324	0.8880946	0.9466606	0.9446292	0.7533196	0.0	0.92854637	0.8473082	0.9308417	0.9346895	0.9579279	0.9008592	0.88938314	0.92919815	0.93190265	0.8886241	0.8846191	0.69906646	0.89534247	0.9083079	0.91127044	0.88976413	0.9637186	0.90919256	0.9122627	0.90209305	0.95915335	0.89175004	0.8971877
situatie/noun	0.88148147	0.8075717	0.797909	0.81123644	0.8058295	0.7943176	0.8813383	0.89009935	0.7393136	0.84264016	0.78387684	0.8822387	0.7958121	0.8578245	0.6789706	0.7772921	0.8548548	0.9190407	0.74579	0.77409303	0.76658213	0.5795959	0.91364586	0.82754815	0.910252	0.7844609	0.87921274	0.8480952	0.83160526	0.84806967	0.9095109	0.9111597	0.8405638	0.81300926	0.6473868	0.8373646	0.8968959	0.87655324	0.92854637	0.0	0.7325072	0.89632773	0.924793	0.7870208	0.7576699	0.8441191	0.7797446	0.92653376	0.78885734	0.7893461	0.8682208	0.9176331	0.4521219	0.90054935	0.73343194	0.67955184	0.87310505	0.84460515	0.82293147	0.69778234	0.7660098	0.72761333
soms/adv	0.82671434	0.7039226	0.6117256	0.8534987	0.7474004	0.60949254	0.8467015	0.7164985	0.70696425	0.58424485	0.5336559	0.89596593	0.6738174	0.82222474	0.5950929	0.88709533	0.8580734	0.7716774	0.75822365	0.66843796	0.68641937	0.7531536	0.846692	0.8749589	0.7816827	0.71808386	0.7951253	0.83268374	0.8186094	0.8320996	0.9064826	0.8011475	0.68423516	0.7656947	0.8439143	0.87825173	0.90387	0.7949449	0.8473082	0.7325072	0.0	0.8267155	0.88480055	0.77920204	0.62483513	0.8153776	0.7403024	0.8688692	0.6344995	0.6366396	0.7631235	0.7980229	0.71930313	0.8093402	0.5982225	0.91010225	0.7694905	0.82411444	0.50245786	0.8556919	0.56750673	0.5515654
sport/noun	0.8870512	0.8488444	0.82143927	0.9225074	0.8486907	0.7995886	0.8945948	0.7275027	0.82317454	0.87091243	0.8306898	0.9122598	0.8367243	0.8581423	0.8242792	0.93297946	0.8925964	0.8964844	0.8249476	0.8057128	0.8741963	0.85657734	0.83233815	0.84203756	0.89970654	0.7766993	0.8865307	0.891872	0.9005607	0.8948206	0.9299691	0.8822209	0.8358215	0.8678859	0.88643444	0.9423078	0.9038678	0.840022	0.9308417	0.89632773	0.8267155	0.0	0.89894783	0.87958163	0.75803393	0.83554006	0.84690493	0.9258786	0.88905036	0.804155	0.89470994	0.8798017	0.88409024	0.85836554	0.8326403	0.96379626	0.86041665	0.9035243	0.8424433	0.86006606	0.8289174	0.79220545
stand_DIM/noun	0.9432745	0.84957236	0.89735496	0.9399151	0.9180545	0.87854886	0.8601352	0.83882624	0.94415224	0.8926488	0.87889534	0.92121744	0.8984262	0.9122472	0.8933565	0.9387465	0.9142716	0.8982727	0.93214035	0.8811589	0.90848875	0.9280926	0.91839635	0.9042364	0.8576376	0.86953473	0.9274063	0.9299732	0.9321256	0.9442186	0.9123579	0.8973004	0.912677	0.9382287	0.9076308	0.95132124	0.9126723	0.88604033	0.9346895	0.924793	0.88480055	0.89894783	0.0	0.9193447	0.9098819	0.9392003	0.915089	0.9155888	0.8753898	0.91649	0.87523854	0.8316277	0.91888165	0.9166416	0.89713764	0.93954515	0.91581595	0.9436118	0.9031528	0.9183423	0.92684776	0.8960655
standpunt/noun	0.9095816	0.86941856	0.8047905	0.6273554	0.8595376	0.82284826	0.95212865	0.88742983	0.8056576	0.8713591	0.7883194	0.8867737	0.8126795	0.82974577	0.7654443	0.8653976	0.91488683	0.8902624	0.7177702	0.7866628	0.8928015	0.81390524	0.8663815	0.83896446	0.920721	0.70185065	0.90207475	0.81435513	0.85176235	0.87705415	0.9366243	0.92550254	0.89076644	0.79912615	0.7436341	0.8179054	0.9195638	0.903047	0.9579279	0.7870208	0.77920204	0.87958163	0.9193447	0.0	0.795293	0.80737215	0.78854764	0.9121052	0.86888146	0.82417196	0.91301715	0.9097904	0.83194065	0.87956536	0.7745278	0.8980101	0.8458955	0.8583006	0.8124169	0.80104613	0.83475614	0.76408386
steeds/adv	0.7391449	0.81395775	0.678781	0.85340166	0.79093987	0.7100246	0.8840312	0.8348849	0.7891094	0.7196995	0.71114004	0.92471856	0.7042593	0.78455836	0.6858635	0.87432164	0.87571317	0.8718929	0.77932036	0.6624781	0.7758764	0.75597453	0.79836017	0.7640966	0.846537	0.7483914	0.8166098	0.821378	0.81048024	0.85950196	0.8978712	0.859807	0.715161	0.7916272	0.767819	0.84458673	0.8896007	0.84924185	0.9008592	0.7576699	0.62483513	0.75803393	0.9098819	0.795293	0.0	0.79099745	0.7708728	0.909211	0.8134849	0.6950023	0.8676088	0.8710903	0.78034234	0.7822546	0.6898626	0.86180115	0.812041	0.78068155	0.7028034	0.83537257	0.6741339	0.6439549
strijd/noun	0.889112	0.81133235	0.8772496	0.84574616	0.81965315	0.8764976	0.937884	0.88248706	0.8932822	0.9024012	0.81506383	0.9254145	0.8757162	0.7953354	0.85787034	0.8400856	0.89359057	0.90277284	0.78294104	0.8214716	0.86420786	0.8458352	0.8546349	0.8806696	0.8879421	0.81549287	0.8895661	0.86975545	0.77165896	0.877736	0.9237637	0.925401	0.82250905	0.71987355	0.8027648	0.9252513	0.9131023	0.86454463	0.88938314	0.8441191	0.8153776	0.83554006	0.9392003	0.80737215	0.79099745	0.0	0.8764036	0.9175996	0.8689928	0.86412966	0.8529243	0.90691924	0.8440877	0.8716239	0.83155185	0.90709066	0.8277972	0.81816083	0.9045205	0.8383715	0.87818944	0.86974025
structuur/noun	0.9114752	0.8539129	0.75505835	0.82568496	0.78640264	0.74328685	0.9343488	0.7990048	0.85516256	0.863516	0.7641295	0.92405057	0.8044098	0.81039757	0.7707583	0.87904996	0.8923941	0.8466915	0.76774335	0.8040681	0.8582916	0.7875412	0.72360426	0.7552889	0.89857733	0.76833427	0.91399246	0.8357783	0.8387692	0.8690198	0.9481144	0.8612271	0.8441675	0.82728094	0.75866187	0.87163997	0.9298006	0.87005633	0.92919815	0.7797446	0.7403024	0.84690493	0.915089	0.78854764	0.7708728	0.8764036	0.0	0.9512208	0.85533994	0.8592197	0.89302933	0.89449	0.7841889	0.8702197	0.72836816	0.9072914	0.7926147	0.8590913	0.7759877	0.84757733	0.76667863	0.77364683
stunt_werk/noun	0.91076505	0.86854345	0.8933306	0.9417319	0.9312636	0.90428126	0.8529859	0.8964124	0.87991357	0.9195709	0.8938216	0.89161456	0.9110622	0.9461887	0.90928835	0.9167589	0.92042094	0.94523287	0.94541764	0.9185059	0.9099504	0.9095086	0.9555922	0.9300963	0.9474509	0.93197405	0.969412	0.951349	0.9322423	0.93359417	0.9239876	0.93043166	0.918451	0.9169103	0.92038184	0.9375832	0.8526765	0.93059355	0.93190265	0.92653376	0.8688692	0.9258786	0.9155888	0.9121052	0.909211	0.9175996	0.9512208	0.0	0.9211665	0.8912668	0.9136514	0.88491255	0.93547297	0.9525001	0.889252	0.94121194	0.95733106	0.925763	0.9274925	0.94929355	0.9264591	0.92220324
tafereel/noun	0.9024318	0.7162571	0.808435	0.9145035	0.80557686	0.7742756	0.8806069	0.74338114	0.8759109	0.78518856	0.69907904	0.92354566	0.8257202	0.85043573	0.7688114	0.91433525	0.88093543	0.82688856	0.8924543	0.7640373	0.7406537	0.82229626	0.886163	0.91860527	0.8436647	0.79789436	0.87173605	0.88113046	0.8979094	0.88277406	0.9129438	0.86549115	0.7958931	0.87518185	0.92109704	0.9169385	0.9470302	0.8151492	0.8886241	0.78885734	0.6344995	0.88905036	0.8753898	0.86888146	0.8134849	0.8689928	0.85533994	0.9211665	0.0	0.83072335	0.75621855	0.8448149	0.7628965	0.8745663	0.76879144	0.9266561	0.8704814	0.87562853	0.7580305	0.8985962	0.78140205	0.7646431
toch/adv	0.72222435	0.79684603	0.68505424	0.8560224	0.81936115	0.74412704	0.9032108	0.8876011	0.5813257	0.6338184	0.7450856	0.9123474	0.67895246	0.8242446	0.6865309	0.9219762	0.8315449	0.9015362	0.81199527	0.7675238	0.73872864	0.7923397	0.9203345	0.8720962	0.8749711	0.8283318	0.8527405	0.86456877	0.87762105	0.8683331	0.93019396	0.86194324	0.7803842	0.82633644	0.8379164	0.850203	0.8822162	0.8592477	0.8846191	0.7893461	0.6366396	0.804155	0.91649	0.82417196	0.6950023	0.86412966	0.8592197	0.8912668	0.83072335	0.0	0.8831534	0.8884107	0.8305977	0.86217976	0.75828743	0.92922556	0.8737969	0.8518479	0.6389177	0.85152066	0.7345558	0.6001626
tocht/noun	0.88603485	0.72918046	0.85378796	0.92911816	0.78194785	0.81591964	0.88841075	0.81754786	0.91948116	0.83857787	0.7846029	0.90819174	0.85769325	0.80680144	0.8579364	0.9279535	0.8479294	0.87019944	0.91504824	0.820111	0.84675825	0.81534594	0.87186253	0.87756705	0.6897044	0.87337804	0.82490873	0.870242	0.8393674	0.85156846	0.8152827	0.68922484	0.82554185	0.85809255	0.90839493	0.95895994	0.9230061	0.60375774	0.69906646	0.8682208	0.7631235	0.89470994	0.87523854	0.91301715	0.8676088	0.8529243	0.89302933	0.9136514	0.75621855	0.8831534	0.0	0.834121	0.8229335	0.8832136	0.82470214	0.9481456	0.86142117	0.8867319	0.85930246	0.9229281	0.8643377	0.85613704
toer/noun	0.89952576	0.8269	0.8164557	0.9261594	0.8985568	0.85550106	0.8304436	0.79475915	0.9159698	0.85381645	0.8200036	0.911656	0.86824554	0.87716824	0.9013323	0.9320542	0.89371014	0.8731741	0.90927565	0.8455205	0.8783772	0.9023828	0.87955165	0.8792926	0.84731066	0.8919995	0.9024695	0.8957703	0.89378625	0.9084487	0.91642743	0.87332743	0.8556799	0.90116054	0.9089317	0.9494481	0.9429655	0.8297072	0.89534247	0.9176331	0.7980229	0.8798017	0.8316277	0.9097904	0.8710903	0.90691924	0.89449	0.88491255	0.8448149	0.8884107	0.834121	0.0	0.87998176	0.89290637	0.85696626	0.96239173	0.9002484	0.9162086	0.82492554	0.90777904	0.88099337	0.875309
toestand/noun	0.8732474	0.7827598	0.79494876	0.83983153	0.8017466	0.8052447	0.89464027	0.85769	0.81923074	0.81610453	0.75737965	0.89684576	0.80506897	0.8193404	0.75209594	0.83553684	0.876764	0.89281964	0.8061534	0.78174376	0.79137725	0.6452517	0.874001	0.8451311	0.8490538	0.8034949	0.875599	0.86762685	0.7984298	0.8550114	0.8946494	0.88336885	0.797755	0.8125436	0.74188256	0.8519356	0.936668	0.84786123	0.9083079	0.4521219	0.71930313	0.88409024	0.91888165	0.83194065	0.78034234	0.8440877	0.7841889	0.93547297	0.7628965	0.8305977	0.8229335	0.87998176	0.0	0.8689605	0.75663525	0.768091	0.8393002	0.80248374	0.8190182	0.7852816	0.7512146	0.7720678
trek_aan/verb	0.890124	0.8548528	0.80792326	0.8954242	0.85395885	0.82200116	0.91306984	0.8520946	0.90957373	0.85131353	0.8147447	0.9631735	0.81513083	0.85090244	0.86625826	0.94636744	0.85770214	0.863261	0.8657187	0.7692374	0.9108262	0.8575531	0.85581	0.8186251	0.8716491	0.8655668	0.8414645	0.8556255	0.88689685	0.90527916	0.9338875	0.8979498	0.82325387	0.8636123	0.8449053	0.87946665	0.9354339	0.8529736	0.91127044	0.90054935	0.8093402	0.85836554	0.9166416	0.87956536	0.7822546	0.8716239	0.8702197	0.9525001	0.8745663	0.86217976	0.8832136	0.89290637	0.8689605	0.0	0.82564676	0.9687286	0.8264921	0.8094735	0.84949696	0.91272974	0.8652874	0.86224055
uiterst/adj	0.8881477	0.79152024	0.65835047	0.8145746	0.8078509	0.50250614	0.9108985	0.76856637	0.8197421	0.72654724	0.56280166	0.87792164	0.6312866	0.828669	0.64582187	0.8696852	0.8414299	0.82919484	0.77389854	0.5848719	0.7913612	0.7263893	0.77349114	0.80744386	0.8495663	0.74211705	0.85190874	0.80473244	0.81326485	0.8608311	0.90097326	0.8338093	0.78519785	0.78607965	0.7950206	0.859719	0.9094732	0.8489629	0.88976413	0.73343194	0.5982225	0.8326403	0.89713764	0.7745278	0.6898626	0.83155185	0.72836816	0.889252	0.76879144	0.75828743	0.82470214	0.85696626	0.75663525	0.82564676	0.0	0.88008714	0.8040321	0.8220721	0.6463165	0.8217797	0.63300085	0.591935
veiligheid_situatie/noun	0.9384764	0.9195519	0.92379147	0.85954857	0.9298012	0.91402173	0.95891845	0.9543939	0.8937934	0.93558735	0.9347415	0.9131358	0.92753863	0.90333194	0.8697237	0.8637342	0.95563036	0.96088386	0.8755452	0.91409504	0.9011785	0.8416155	0.9416881	0.91361004	0.9382721	0.90416944	0.9634569	0.907578	0.896026	0.91536975	0.94819766	0.9756233	0.9256784	0.914135	0.8402172	0.8846343	0.93032837	0.9433988	0.9637186	0.67955184	0.91010225	0.96379626	0.93954515	0.8980101	0.86180115	0.90709066	0.9072914	0.94121194	0.9266561	0.92922556	0.9481456	0.96239173	0.768091	0.9687286	0.88008714	0.0	0.9512958	0.9157267	0.9313923	0.8305707	0.92117333	0.90968806
vergelijk/verb	0.9017702	0.8207594	0.81336194	0.88889176	0.8328001	0.8041347	0.94787836	0.82713425	0.8830299	0.8688219	0.8041857	0.9622115	0.84101707	0.7895918	0.7880367	0.9292379	0.9225546	0.8765847	0.8273488	0.7826984	0.8684643	0.84776884	0.82773924	0.8595561	0.8699619	0.8105728	0.85893065	0.85852355	0.8658651	0.8913096	0.9392304	0.89965355	0.8067492	0.8217719	0.8777155	0.8852551	0.9517013	0.8511269	0.90919256	0.87310505	0.7694905	0.86041665	0.91581595	0.8458955	0.812041	0.8277972	0.7926147	0.95733106	0.8704814	0.8737969	0.86142117	0.9002484	0.8393002	0.8264921	0.8040321	0.9512958	0.0	0.7803694	0.8563527	0.909033	0.84516275	0.8552697
voorspel/verb	0.8477028	0.8399839	0.81911945	0.8706118	0.84659165	0.85984343	0.9360375	0.9091305	0.85300094	0.8556953	0.8259552	0.94319314	0.8473508	0.81470215	0.83206964	0.8775839	0.8977712	0.8920356	0.88812214	0.7940154	0.8527289	0.8262308	0.8709496	0.8216047	0.8720269	0.86730635	0.9127615	0.885609	0.8509333	0.8815936	0.9291978	0.90587467	0.809154	0.8373291	0.8560632	0.7230618	0.9203066	0.8873374	0.9122627	0.84460515	0.82411444	0.9035243	0.9436118	0.8583006	0.78068155	0.81816083	0.8590913	0.925763	0.87562853	0.8518479	0.8867319	0.9162086	0.80248374	0.8094735	0.8220721	0.9157267	0.7803694	0.0	0.8697738	0.90509367	0.8717971	0.85438025
wat/adv	0.8401129	0.80052376	0.5938871	0.87381506	0.8170383	0.6673225	0.9102711	0.7968024	0.77696335	0.5921384	0.60905194	0.8874002	0.679288	0.841462	0.70824826	0.9293534	0.87465626	0.843212	0.81720144	0.7550287	0.8039051	0.82523584	0.8869953	0.87700385	0.84187216	0.7856732	0.8380786	0.8738771	0.8924863	0.89863676	0.9248485	0.84860045	0.7469299	0.7994869	0.87151676	0.9075642	0.9373251	0.8587281	0.90209305	0.82293147	0.50245786	0.8424433	0.9031528	0.8124169	0.7028034	0.9045205	0.7759877	0.9274925	0.7580305	0.6389177	0.85930246	0.82492554	0.8190182	0.84949696	0.6463165	0.9313923	0.8563527	0.8697738	0.0	0.8803266	0.6270113	0.5664878
zaak/noun	0.8842691	0.87991846	0.8594135	0.79874223	0.8545471	0.85433227	0.93175614	0.91171664	0.8122678	0.8912232	0.87274486	0.89574736	0.86788774	0.84612364	0.81794906	0.85067654	0.84180737	0.92956424	0.585469	0.85026115	0.86572486	0.81117785	0.84583366	0.7793596	0.91633487	0.7104591	0.8880337	0.7899216	0.81708163	0.87689304	0.9227346	0.9292693	0.86880946	0.81437665	0.84963363	0.9228729	0.9003531	0.91235316	0.95915335	0.69778234	0.8556919	0.86006606	0.9183423	0.80104613	0.83537257	0.8383715	0.84757733	0.94929355	0.8985962	0.85152066	0.9229281	0.90777904	0.7852816	0.91272974	0.8217797	0.8305707	0.909033	0.90509367	0.8803266	0.0	0.8696798	0.82104415
zo/adj	0.8623966	0.82962596	0.6196063	0.8846637	0.8317141	0.61486065	0.9034698	0.8317043	0.798776	0.7185292	0.6051656	0.94777125	0.65349364	0.86214614	0.6091784	0.92336345	0.87770796	0.87067	0.8351952	0.708168	0.78779304	0.75908446	0.87388015	0.8928347	0.86513865	0.7821606	0.87580657	0.84293556	0.87858707	0.88367474	0.9250318	0.8441729	0.77243084	0.82683164	0.8606071	0.91093105	0.92808884	0.862569	0.89175004	0.7660098	0.56750673	0.8289174	0.92684776	0.83475614	0.6741339	0.87818944	0.76667863	0.9264591	0.78140205	0.7345558	0.8643377	0.88099337	0.7512146	0.8652874	0.63300085	0.92117333	0.84516275	0.8717971	0.6270113	0.8696798	0.0	0.44628686
zo/adv	0.7927891	0.78517556	0.6504667	0.83791196	0.7981753	0.5926759	0.8798526	0.82563245	0.67137456	0.6147485	0.5459088	0.92032903	0.57127225	0.8421329	0.49981612	0.9087385	0.83561	0.8545627	0.8098747	0.6125556	0.75969994	0.7578952	0.88443285	0.8513598	0.8735312	0.7384703	0.84108424	0.82792926	0.86816335	0.85892045	0.915421	0.8710135	0.7630748	0.8023882	0.8331181	0.8965144	0.9088167	0.85013294	0.8971877	0.72761333	0.5515654	0.79220545	0.8960655	0.76408386	0.6439549	0.86974025	0.77364683	0.92220324	0.7646431	0.6001626	0.85613704	0.875309	0.7720678	0.86224055	0.591935	0.90968806	0.8552697	0.85438025	0.5664878	0.82104415	0.44628686	0.0
